feature1,feature2,class
-3.537217237570055017e-01,-3.608951054675537229e+00,0.000000000000000000e+00
6.619659270439278487e+00,3.220247909940740616e+00,1.000000000000000000e+00
5.601810807208816634e+00,1.585217370782452839e+00,1.000000000000000000e+00
-4.825667202491493168e-01,-5.392850160267986581e+00,0.000000000000000000e+00
7.275299493331468526e+00,1.477227860730778719e+00,1.000000000000000000e+00
2.328816560620699860e+00,-3.208150804656827226e+00,0.000000000000000000e+00
-1.082955148000037449e+00,-5.351859436956204696e+00,0.000000000000000000e+00
1.119137682405166867e-01,-3.691557263830891777e+00,0.000000000000000000e+00
5.889575013155554650e+00,2.551451713545533018e+00,1.000000000000000000e+00
6.592494774921631162e+00,2.677640941173714761e+00,1.000000000000000000e+00
6.433030997599806788e+00,1.187463977569678031e+00,1.000000000000000000e+00
6.512798289425257181e+00,1.878818296332912530e+00,1.000000000000000000e+00
-7.998464908206659452e-01,-5.708543785285403516e+00,0.000000000000000000e+00
4.940615840621044086e+00,1.892999842373733754e+00,1.000000000000000000e+00
-1.840719810056956396e+00,-4.876621193866104598e+00,0.000000000000000000e+00
6.173286866844891918e+00,2.364253017102905918e+00,1.000000000000000000e+00
6.634144025874177508e+00,1.596323471567730357e+00,1.000000000000000000e+00
1.572686162128217324e-03,-3.699016496227251150e+00,0.000000000000000000e+00
6.548329340371283003e+00,2.531871076234968765e+00,1.000000000000000000e+00
1.489518812675429071e+00,-5.586566229285635288e+00,0.000000000000000000e+00
-1.666174408190985945e+00,-4.606541286727699358e+00,0.000000000000000000e+00
3.931402307521949968e+00,1.623755443518490660e+00,1.000000000000000000e+00
6.286749437531020668e+00,2.351609029111577875e+00,1.000000000000000000e+00
6.598313563828302364e+00,2.975978709796589516e+00,1.000000000000000000e+00
-1.139736250184757660e+00,-5.875447456076399178e+00,0.000000000000000000e+00
5.360152437670794967e+00,1.045801353342191486e+00,1.000000000000000000e+00
1.580784468741264770e-01,-5.041529902643112848e+00,0.000000000000000000e+00
5.837478287894557027e+00,3.465646725928245075e+00,1.000000000000000000e+00
4.669719676645885942e-01,-4.858223654233844613e+00,0.000000000000000000e+00
6.384201436736422153e+00,2.912353593996960477e+00,1.000000000000000000e+00
6.421880485141076012e-01,-5.370834601010443521e+00,0.000000000000000000e+00
-1.496229676077161175e+00,-3.522197670758575150e+00,0.000000000000000000e+00
-1.729703021237496419e-01,-4.660642822212183844e+00,0.000000000000000000e+00
-1.024571686240459467e+00,-4.615935576079073677e+00,0.000000000000000000e+00
1.127740170440240108e+00,-5.148776197953389477e+00,0.000000000000000000e+00
5.265863785656484275e+00,3.664142688447893814e+00,1.000000000000000000e+00
5.837537129640283595e+00,3.325640118403029533e+00,1.000000000000000000e+00
3.820857129772246008e-01,-4.249605190730810556e+00,0.000000000000000000e+00
1.095466464146437557e+00,-4.599523934309860174e+00,0.000000000000000000e+00
-8.009555586540413330e-01,-4.489967078455355143e+00,0.000000000000000000e+00
