feature1,feature2,class
-2.272661321898334474e+00,1.161423304625022856e+00,0.000000000000000000e+00
-2.514897683375433068e+00,-1.034636574895998695e+00,0.000000000000000000e+00
-3.390793141304739411e+00,1.831408402326870632e+00,0.000000000000000000e+00
-5.341611440929117549e+00,-1.689580405423088960e+00,0.000000000000000000e+00
3.263032344259453765e+00,2.099590288320778875e+00,1.000000000000000000e+00
3.810749502866503047e+00,4.382350880158735862e+00,1.000000000000000000e+00
-3.113817360991219640e+00,7.868638898970889972e-01,0.000000000000000000e+00
3.588545152415368644e+00,2.091826428225639578e+00,1.000000000000000000e+00
8.717241236934811788e-01,2.509019612928940379e+00,1.000000000000000000e+00
-3.569768973736177298e+00,-3.139846972664021019e-01,0.000000000000000000e+00
5.139566667815814505e+00,3.235662384624249377e-01,1.000000000000000000e+00
2.723871260120464211e+00,3.113364052566665485e+00,1.000000000000000000e+00
3.884537713563168904e+00,2.399284112609977093e+00,1.000000000000000000e+00
-3.062357319464634742e+00,2.359735947106807341e+00,0.000000000000000000e+00
3.898330117496785263e+00,3.381083633924152121e+00,1.000000000000000000e+00
-2.438520532728584822e+00,-4.250612674873389674e-01,0.000000000000000000e+00
-4.600019276803712032e+00,1.800007984055940202e+00,0.000000000000000000e+00
-2.884621320386097754e+00,7.322841591604036804e-01,0.000000000000000000e+00
3.652356567936331011e+00,1.533518299629984538e+00,1.000000000000000000e+00
4.688555844849395804e+00,1.744720215390471729e-01,1.000000000000000000e+00
-3.765199169489163111e+00,-7.142713554557108546e-01,0.000000000000000000e+00
3.216866801426156997e+00,1.709588474206456876e+00,1.000000000000000000e+00
-1.716396703536538615e+00,6.091927467000467500e-01,0.000000000000000000e+00
-4.702044634014990621e+00,9.106874222729171020e-01,0.000000000000000000e+00
4.482021181207566762e+00,7.693713591016242415e-01,1.000000000000000000e+00
-2.863899708185364545e-01,1.911513518584597726e-01,0.000000000000000000e+00
4.414874435317381440e+00,2.904682746673830973e+00,1.000000000000000000e+00
-4.090339564098536052e+00,-8.452878030309296520e-02,0.000000000000000000e+00
-4.196200742637612890e+00,8.381946481902986523e-01,0.000000000000000000e+00
-2.406844142655064633e+00,-1.603759670892745071e+00,0.000000000000000000e+00
-2.944131983823848664e+00,-1.196468674748132122e+00,0.000000000000000000e+00
-5.112445080894341132e+00,1.501625033794138364e-01,0.000000000000000000e+00
3.293604867407554870e+00,1.647922918269364878e+00,1.000000000000000000e+00
4.907674224288927078e+00,9.598287803302425480e-01,1.000000000000000000e+00
2.861733696818290262e+00,3.325798015888114634e+00,1.000000000000000000e+00
3.914452723036833781e+00,2.730473437535939407e+00,1.000000000000000000e+00
4.002794995726860705e+00,1.508804752752259670e+00,1.000000000000000000e+00
-2.122657272401237805e+00,-9.167334698847273700e-01,0.000000000000000000e+00
-3.324573569223839176e+00,-7.019343345349928764e-01,0.000000000000000000e+00
-1.604597978218472276e+00,-5.157269871688383023e-02,0.000000000000000000e+00
-2.152013745888597285e+00,-5.123669254210438950e-01,0.000000000000000000e+00
2.734535848260474467e+00,3.708241779463611998e+00,1.000000000000000000e+00
-2.445964842987548682e+00,1.260754334103627139e+00,0.000000000000000000e+00
5.593510385089228265e+00,3.665734357687609801e+00,1.000000000000000000e+00
1.983862087717398914e+00,3.155916875584539927e+00,1.000000000000000000e+00
-2.339112074418895126e+00,-1.437813387055836278e-01,0.000000000000000000e+00
3.499209693989850933e+00,3.344450208231875443e+00,1.000000000000000000e+00
-3.250428554540165660e+00,8.372280192878212013e-01,0.000000000000000000e+00
4.157199511552938986e+00,2.118283500663030949e+00,1.000000000000000000e+00
-1.403699242437072447e+00,-7.342723117660987509e-01,0.000000000000000000e+00
4.803584723348304664e+00,3.944109466223176597e+00,1.000000000000000000e+00
3.191547818431576644e+00,1.271214095898539620e+00,1.000000000000000000e+00
-3.608245486360416088e+00,-2.019497802307981815e-02,0.000000000000000000e+00
-2.624561722338084380e+00,-4.307481426623711585e-01,0.000000000000000000e+00
-3.470594916060396162e+00,5.007086815665777735e-01,0.000000000000000000e+00
-3.858960269041776581e+00,-2.420582481362299476e-01,0.000000000000000000e+00
-2.841911963755830328e+00,1.026658206082037839e-01,0.000000000000000000e+00
3.894853983634861461e+00,2.067424725709639421e+00,1.000000000000000000e+00
2.935210088087537361e+00,3.078101703213433904e+00,1.000000000000000000e+00
5.067275838530894916e+00,2.640869448643237138e+00,1.000000000000000000e+00
2.510063630029779169e+00,3.605386554452514325e-01,1.000000000000000000e+00
-4.191752576197613323e+00,1.287530617428499058e+00,0.000000000000000000e+00
5.439431436866229319e+00,3.151100068688110323e+00,1.000000000000000000e+00
-3.462864870931167349e+00,-2.514929901405525414e-01,0.000000000000000000e+00
3.206581842292848705e+00,1.725356881600530468e+00,1.000000000000000000e+00
-3.117149618862633531e+00,-6.521596237994027323e-01,0.000000000000000000e+00
-2.271883279139674805e+00,4.939719383044067769e-01,0.000000000000000000e+00
3.169886223423993510e+00,1.975872027416674115e+00,1.000000000000000000e+00
4.067938215515066069e+00,3.631445162734394216e+00,1.000000000000000000e+00
-2.200716372757677064e+00,8.274050043847008817e-02,0.000000000000000000e+00
4.936444155951481783e+00,6.641417982939807896e-01,1.000000000000000000e+00
-4.755836292192578973e-01,1.799672734717112643e+00,0.000000000000000000e+00
-1.962573932845007807e+00,1.224375509424648678e+00,0.000000000000000000e+00
1.584763188466950190e+00,1.476643051665715189e+00,1.000000000000000000e+00
4.104463677989827808e+00,4.814185905044796598e+00,1.000000000000000000e+00
3.868276337724926961e+00,2.050775195525540440e+00,1.000000000000000000e+00
3.669230568682789517e+00,2.328612157263164839e+00,1.000000000000000000e+00
3.514828201044768452e+00,4.195698463691328151e+00,1.000000000000000000e+00
3.530687218102967595e+00,2.162084786934190372e+00,1.000000000000000000e+00
3.782184064207597007e+00,4.169668172799302575e+00,1.000000000000000000e+00
-3.870082462892723285e+00,1.043266443208300753e+00,0.000000000000000000e+00
-1.685031020595459506e+00,-1.208919273269128292e+00,0.000000000000000000e+00
3.234607970810025712e+00,1.421303349721741327e+00,1.000000000000000000e+00
4.083553988925611833e+00,2.513410615738863374e+00,1.000000000000000000e+00
-4.174047408635124690e+00,1.311898657850969263e+00,0.000000000000000000e+00
-2.506714902295923864e+00,7.220510128742634315e-01,0.000000000000000000e+00
-4.739892895469550282e+00,6.237811922682521271e-01,0.000000000000000000e+00
-2.570715714458151613e+00,1.039103384451894208e+00,0.000000000000000000e+00
-3.302365464165193831e+00,-1.750478060699173444e+00,0.000000000000000000e+00
1.958902825243767465e+00,4.223361523075791268e+00,1.000000000000000000e+00
4.071935238700999271e+00,1.588962565572052732e+00,1.000000000000000000e+00
5.827902504404917750e+00,4.024060324164961955e+00,1.000000000000000000e+00
-3.209004227522106678e+00,-5.596805046126008820e-01,0.000000000000000000e+00
5.571314056408699145e+00,2.298233257338930358e+00,1.000000000000000000e+00
-1.966765361047705829e+00,-6.261894231265352495e-01,0.000000000000000000e+00
