dataset,report_path,n_samples,n_both_success,crawler_success_rate,gs_success_rate,both_success_rate,agree_success_rate,crawler_only_success_rate,gs_only_success_rate,angle_x_crawler_gs_deg_mean,angle_x_crawler_gs_deg_median,angle_x_crawler_gs_deg_std,angle_x_crawler_gs_deg_iqr,sphere_vol_mean,sphere_vol_median,sphere_vol_std,sphere_vol_iqr,ring_n_mean,ring_n_median,ring_n_std,ring_n_iqr,dist_x_to_crawler_mean,dist_x_to_crawler_median,dist_x_to_crawler_std,dist_x_to_crawler_iqr,dist_x_to_gs_mean,dist_x_to_gs_median,dist_x_to_gs_std,dist_x_to_gs_iqr,dist_crawler_to_gs_mean,dist_crawler_to_gs_median,dist_crawler_to_gs_std,dist_crawler_to_gs_iqr,n_paired,dist_diff_mean,dist_diff_median,wilcoxon_p,wilcoxon_rbc,mannwhitney_p
15d_3class,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/15d_3class/report.csv,600,600,1.0,1.0,1.0,1.0,0.0,0.0,46.05911181079787,44.125850484809206,10.264113120804737,7.4750292651900665,1008113821.003498,0.0,24693644641.06025,0.0,71.90666666666667,74.0,47.91695608051767,87.25,7.082732001145681,6.969444513320923,1.9062101998074021,2.6186375617980957,9.503239204590683,9.440364170312492,2.4629531522782857,3.3039223916196683,6.956657643871034,6.430180848011071,2.686691595856277,2.653537215875283,600,-2.4205072034450024,-2.378985213096816,6.008245649031838e-100,0.9999944536882973,1.2098868554590782e-63
15d_linear_blobs,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/15d_linear_blobs/report.csv,400,400,1.0,1.0,1.0,1.0,0.0,0.0,38.63627533481299,39.01519008327301,3.951238159791405,5.410600690285165,0.0,0.0,0.0,0.0,0.54,0.0,2.9875933936388144,0.0,9.65739740729332,9.28840684890747,2.48044190978348,4.673689842224121,12.331684831572618,11.971260569692024,3.2151732715210977,6.032336159973374,7.696039768715966,7.254231640758075,2.1835742670898015,3.511232315176949,400,-2.674287424279298,-2.489849044407592,2.73006926195335e-67,1.0,1.222381114775159e-31
15d_moons,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/15d_moons/report.csv,400,400,1.0,1.0,1.0,1.0,0.0,0.0,53.45823888898978,51.82136980200559,13.198806722469987,14.774383439800495,0.004909050567616374,0.0,0.053475275772725636,1.6586002916566037e-05,0.0875,0.0,0.5922166422673768,0.0,1.2973688226938247,1.2220016121864319,0.3652237051213882,0.49001163244247437,1.5103351109727061,1.374907463107823,0.6049556695129525,0.6969417039544115,1.2458520028017828,1.1969836707291954,0.384591352993778,0.5095273443715173,400,-0.2129662882788812,-0.1902036889517898,8.149941177034392e-43,0.8956982543640898,2.979433326323757e-08
15d_spirals,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/15d_spirals/report.csv,400,400,1.0,1.0,1.0,1.0,0.0,0.0,61.99462081439142,59.204026354526405,16.523910643881052,17.522618243930623,0.14650853725862967,1.03753865184993e-05,2.8563197844091164,0.0002106347100121,0.0,0.0,0.0,0.0,1.0394297963380814,0.9844052791595459,0.27394803026717185,0.29653865098953247,0.9838334407327701,0.9828910487615061,0.5128246365578835,0.4220356385290578,1.0358030897381656,0.9544460068136809,0.3462484790484621,0.4107657030410198,400,0.055596355605311294,-0.009395445175310047,0.8380161302474312,0.5058977556109725,0.2806833688583753
2d_10class,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/2d_10class/report.csv,2000,2000,1.0,1.0,1.0,1.0,0.0,0.0,48.45606494270718,23.143552778147846,52.27579366785866,74.22077589581384,0.1485441793121468,0.0030509094887794,0.78809187645941,0.01902547739407135,25.8095,3.0,59.31275757672777,16.0,0.9692556342212483,0.7489031255245209,0.7998261510911745,0.9111966788768768,0.594841295718094,0.2578660000752516,0.7946436225883676,0.952286605071336,0.5683828566634265,0.2676441359056366,0.7808101519892435,0.5499297550318962,2000,0.3744143385031544,0.10030293018040924,1.9885371856337468e-240,0.9274222888555722,3.33890753103865e-100
2d_3class,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/2d_3class/report.csv,600,600,1.0,1.0,1.0,1.0,0.0,0.0,22.22315719160669,6.543041801039076,32.87415539730576,20.100402608007663,0.6593745606217146,0.00312980815343465,2.4440076375154467,0.049502892249236076,10.771666666666667,1.0,30.267469833234024,5.0,2.7386447204152744,2.7599865198135376,1.3786684230212387,1.968024015426636,2.54447553111003,2.53545613163219,1.3722230620509026,1.9546984862828531,0.902781942577397,0.26441900651123473,1.4851542191781373,0.5937536253051857,600,0.19416918930524404,0.009363182804187575,5.722949908052777e-35,0.7906655574043261,0.0186508566977806
2d_linear_blobs,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/2d_linear_blobs/report.csv,400,400,1.0,1.0,1.0,1.0,0.0,0.0,9.181206955024377,8.157432431498329,6.749567187543649,9.041053226977787,0.0012921381631438183,0.0,0.0029472165083106053,0.001431160831510375,3.1775,1.0,5.401289528568948,5.0,3.6330704256147146,3.675908088684082,1.1154034897219551,1.416741132736206,3.6849582346411176,3.7415252481576196,1.1157071647563153,1.3727448615695232,0.5484760212747094,0.47810904335502347,0.3685480920656405,0.5649701995026063,400,-0.05188780902640272,-0.02861201466669616,2.3313558624572106e-55,0.95214463840399,0.4906635617776567
2d_moons,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/2d_moons/report.csv,400,400,1.0,1.0,1.0,1.0,0.0,0.0,15.230035919134904,7.414170183659612,29.11641873973809,10.193817022396242,0.06423385824455316,0.00133924222243075,0.3086797909517942,0.0063295853904123,2.63,1.0,8.88569010948528,2.0,1.241938629075885,1.249565839767456,0.4088888249524506,0.519840404391289,1.1999692471459742,1.2354550989222226,0.3636776228479121,0.49233711303708094,0.32701669275475403,0.153317061985795,0.6938268322067142,0.1821960339344227,400,0.04196938192991061,0.003347756513718214,8.79815559749764e-12,0.6968952618453865,0.2948349273681595
2d_spirals,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/2d_spirals/report.csv,400,400,1.0,1.0,1.0,1.0,0.0,0.0,31.794442510938552,16.99176085400567,43.82047265410115,23.124956276945348,0.03507851609462559,0.00260307923613245,0.29277969902622836,0.01765713923496638,0.61,0.0,2.672218531426509,1.0,0.5536099628359079,0.5416668951511383,0.19311904782821188,0.253022313117981,0.5179256756347037,0.49923539979040843,0.17544807415848007,0.2282500449798257,0.26737195676885606,0.14516644428069544,0.35389404331408475,0.19975804527796603,400,0.035684287201204146,0.010277910182985295,2.348271014736652e-24,0.7937905236907731,0.010021076695522681
8d_10class,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/8d_10class/report.csv,2000,2000,1.0,1.0,1.0,1.0,0.0,0.0,38.36736963313866,32.48839481340818,19.43798439616445,15.856090158499214,323.26032198767365,0.0,5360.680636269753,0.0,7.227,1.0,12.427255905656418,9.0,2.778481114938855,2.676271438598633,1.3298764612590799,1.9412882030010223,2.998214134552829,2.938341654191442,1.4841800576338415,2.1430929625725073,1.8880506968347612,1.4550972038087329,1.4568582406994484,1.3098097197504193,2000,-0.2197330196139736,-0.22048878060691568,2.5951786804994716e-192,0.8818460769615193,1.84703429843014e-06
