dataset,report_path,n_samples,crawler_success_rate,gs_success_rate,both_success_rate,agree_success_rate,crawler_only_success_rate,gs_only_success_rate,angle_x_crawler_gs_deg_mean,angle_x_crawler_gs_deg_median,angle_x_crawler_gs_deg_std,angle_x_crawler_gs_deg_iqr,sphere_vol_mean,sphere_vol_median,sphere_vol_std,sphere_vol_iqr,ring_n_mean,ring_n_median,ring_n_std,ring_n_iqr,dist_x_to_crawler_mean,dist_x_to_crawler_median,dist_x_to_crawler_std,dist_x_to_crawler_iqr,dist_x_to_gs_mean,dist_x_to_gs_median,dist_x_to_gs_std,dist_x_to_gs_iqr,dist_crawler_to_gs_mean,dist_crawler_to_gs_median,dist_crawler_to_gs_std,dist_crawler_to_gs_iqr,n_paired,dist_diff_mean,dist_diff_median,wilcoxon_p,wilcoxon_rbc,mannwhitney_p
15d_linear_blobs,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/15d_linear_blobs/report.csv,400,1.0,0.5225,0.5225,0.5225,0.4775,0.0,50.5348435046309,51.71916090820073,8.341051964339362,10.94140635080307,0.0,0.0,0.0,0.0,0.01,0.0,0.09962335082737976,0.0,11.423165129423142,11.00878381729126,2.6907633585061577,5.039336442947388,6.059254149198532,9.383037090301514,5.9082707467776086,11.594693183898924,11.455105842351914,12.115939617156982,2.8986945462142337,5.077574253082275,209,-2.5217993065500943,-2.4694643020629883,5.0940043857646824e-36,0.9998177261335156,6.0227111801184365e-49
15d_moons,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/15d_moons/report.csv,400,1.0,0.98,0.98,0.98,0.02,0.0,50.52677217443882,49.13365615299829,10.71694411640762,10.933448749631609,1.251701473828276,0.0,16.13154171995683,0.0,0.0675,0.0,0.37187292679652084,0.0,1.1619346244074404,1.0498394966125488,0.45544013322302174,0.5779761672019958,1.5967196982154874,1.4409128427505493,0.7816813995265487,0.7734931409358978,1.3134499667957424,1.1220452189445496,0.6815794794263451,0.7874819189310076,392,-0.48999309551068376,-0.3475346863269807,5.166236560528479e-61,0.980240951342369,1.7072658472586638e-29
15d_spirals,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/15d_spirals/report.csv,400,1.0,1.0,1.0,1.0,0.0,0.0,53.50475596337452,48.76293360675765,16.310926045517792,11.893660129212215,0.018114418660713144,0.0,0.31582869394418067,0.0,0.0,0.0,0.0,0.0,0.8145679009804735,0.7588132619857788,0.3453376772711831,0.3358803242444992,1.0277944367410854,1.0255936980247498,0.5358598216825606,0.46021653711795807,0.8619297407200793,0.7876850962638855,0.41255728872564973,0.44165557622909546,400,-0.21322653576061182,-0.26775547862052923,4.0049061188975623e-35,0.8567456359102245,3.7923368816866977e-19
2d_10class,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/2d_10class/report.csv,2000,1.0,0.999,0.999,0.999,0.001,0.0,48.871253117081146,29.47064012429129,52.0086349470318,78.90536310703139,0.2503469934991317,0.0,0.9821837617821577,0.032935250021616874,31.5825,3.0,61.52289595844426,31.0,1.0073190541967634,0.7712756991386414,0.8803851090447815,1.0424518138170242,0.586310676328126,0.25390781462192535,0.779932228227142,0.9499840587377548,0.6845939944173235,0.30574165284633636,0.8995280510838612,0.9920179862529039,1998,0.41591888250362824,0.1352679133415222,1.0352937469247851e-190,0.8804261990855288,7.040677941309561e-104
2d_3class,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/2d_3class/report.csv,600,0.975,0.9566666666666667,0.9533333333333334,0.975,0.021666666666666667,0.0033333333333333335,22.236956811274407,7.006223195887676,31.020700840930388,26.727918736042497,0.7057722042644842,0.0053210829612145,2.190005588615369,0.199236848187139,11.36,1.0,25.08716823431243,8.0,2.6168293373740745,2.656796097755432,1.3980651467817078,1.9750964045524597,2.2970076428075803,2.361315369606018,1.2955976011665868,1.9179934859275818,1.0715695905485094,0.2855330854654312,1.6278681689973187,1.209424326196313,572,0.22372018694219659,0.022603154182434082,1.2784623076984549e-45,0.8420776431247635,0.005798098921658509
2d_linear_blobs,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/2d_linear_blobs/report.csv,400,1.0,0.8925,0.8925,0.8925,0.1075,0.0,7.884854618666509,8.203701320653098,3.36953077290844,4.440940389213651,0.04865154424868874,0.030571070210914097,0.05595902174432243,0.0573445572843182,0.3125,0.0,0.7078816929601092,0.0,3.675012133270502,3.71873939037323,1.1490712056347425,1.459780216217041,3.0303498119860888,3.3339160680770874,1.3650299898060618,1.5740178227424622,1.066913889106654,0.5419931411743164,1.6432311497061227,0.4717166498303414,357,0.03508766500555835,0.034088850021362305,1.5341753910663806e-57,0.9882165156565419,0.5541834102749177
2d_moons,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/2d_moons/report.csv,400,1.0,1.0,1.0,1.0,0.0,0.0,11.924577976699124,3.3127449774111417,25.16364308916637,7.755239030168431,0.0998046001413482,0.0,0.4810568890240062,0.002258390148300575,2.6625,0.0,11.597838954781732,1.0,1.2428167144209146,1.2338588237762451,0.44047387536139354,0.5538178384304047,1.193874521702528,1.2341472506523132,0.3638165399757553,0.49534741044044495,0.29157594714830337,0.060974339023232405,0.6837975693534724,0.13570882426574832,400,0.04894219271838665,-0.00043317675590515137,0.75434558877651,0.5090274314214465,0.3881050375448156
2d_spirals,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/2d_spirals/report.csv,400,1.0,1.0,1.0,1.0,0.0,0.0,20.60223629140135,4.160261782836468,47.34279743191828,6.4189844132897775,0.009602633091910845,0.0,0.06632244057503595,0.0,0.2175,0.0,0.9473316965869959,0.0,0.5211406920058653,0.49909502267837524,0.18565176714963688,0.2452649250626564,0.5106987783338195,0.49934469163417816,0.17551362268652046,0.218999132514,0.1585952598859785,0.03427524305880065,0.36105098246175876,0.050362402107566595,400,0.01044191367204581,-0.0006782412528991977,6.950794092474656e-16,0.7328553615960101,0.5772746934108464
8d_10class,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/8d_10class/report.csv,2000,0.8745,0.998,0.8745,0.8765,0.0,0.1235,65.58918864824058,58.60303326861647,30.644550707845752,54.67746634302206,8671708942.059053,85.50427185821674,167912704749.51422,269482.6411743464,109.578,1.0,307.21218168928317,62.0,3.864610228307545,2.806726336479187,3.863877118874396,4.151604861021042,3.324371583637716,3.132184147834778,1.8261678480254777,2.244996130466461,4.8921962689161305,3.852149724960327,4.334517314642834,5.661971926689148,1749,1.5266834524833095,0.15163850784301758,1.707666250653961e-61,0.7283907539001879,6.462612762968949e-20
8d_3class,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/8d_3class/report.csv,600,1.0,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.0033333333333333335,0.0,42.16365525822744,39.89757488963429,12.98340312758415,13.610068071350291,216810.70200292848,0.0,2576468.942457301,186.92476423508657,19.605,11.0,22.60960633959348,28.0,4.3887514600654445,4.264771461486816,1.80731843123963,2.490904748439789,4.725561353166898,4.7230846881866455,1.8125872777639271,2.575407564640045,3.430709194044272,3.063509941101074,1.9489035179473895,2.273245394229889,598,-0.3653270764195401,-0.39197492599487305,1.3289858922773462e-54,0.8672480890670627,0.00029441693044882403
