original_index,original_class,success,boundary_x1,boundary_x2,distance,method,neutrality,proximity_l2,flip_correct
0,0.0,False,-1.7726617,1.6614228,0.7071061,fgsm,,,False
1,0.0,False,-2.014898,-0.5346371,0.7071061,fgsm,,,False
2,0.0,False,-2.8907936,2.331408,0.7071062,fgsm,,,False
3,0.0,False,-4.8416,-1.1895809,0.7071145,fgsm,,,False
4,1.0,False,2.763033,1.5995908,0.7071061,fgsm,,,False
5,1.0,False,3.31075,3.8823423,0.7071125,fgsm,,,False
6,0.0,False,-2.613818,1.2868634,0.7071062,fgsm,,,False
7,1.0,False,3.0885456,1.5918269,0.7071061,fgsm,,,False
8,1.0,False,0.3717246,2.00902,0.7071061,fgsm,,,False
9,0.0,False,-3.0697694,0.18601531,0.7071065,fgsm,,,False
10,1.0,False,4.6395555,-0.17643376,0.7071149,fgsm,,,False
11,1.0,False,2.2238717,2.6133645,0.7071061,fgsm,,,False
12,1.0,False,3.3845382,1.8992846,0.7071061,fgsm,,,False
13,0.0,False,-2.562358,2.8597355,0.7071061,fgsm,,,False
14,1.0,False,3.3983307,2.8810842,0.7071061,fgsm,,,False
15,0.0,False,-1.9385209,0.074938625,0.70710635,fgsm,,,False
16,0.0,False,-4.100008,2.3000076,0.70711464,fgsm,,,False
17,0.0,False,-2.3846219,1.2322837,0.7071061,fgsm,,,False
18,1.0,False,3.152357,1.0335188,0.7071061,fgsm,,,False
19,1.0,False,4.1885443,-0.32552797,0.7071149,fgsm,,,False
20,0.0,False,-3.2651997,-0.21427178,0.7071062,fgsm,,,False
21,1.0,False,2.7168672,1.209589,0.7071061,fgsm,,,False
22,0.0,False,-1.2163972,1.1091923,0.7071061,fgsm,,,False
23,0.0,False,-4.202033,1.410687,0.7071145,fgsm,,,False
24,1.0,False,3.9820104,0.2693718,0.7071142,fgsm,,,False
25,0.0,False,0.21361007,0.69115096,0.70710653,fgsm,,,False
26,1.0,False,3.9148653,2.404683,0.707113,fgsm,,,False
27,0.0,False,-3.590338,0.4154711,0.7071079,fgsm,,,False
28,0.0,False,-3.6961968,1.3381943,0.70710933,fgsm,,,False
29,0.0,False,-1.9068446,-1.1037601,0.7071061,fgsm,,,False
30,0.0,False,-2.4441326,-0.6964692,0.7071061,fgsm,,,False
31,0.0,False,-4.6124334,0.65016216,0.70711464,fgsm,,,False
32,1.0,False,2.7936053,1.1479234,0.7071061,fgsm,,,False
33,1.0,False,4.407663,0.45982927,0.7071145,fgsm,,,False
34,1.0,False,2.3617342,2.8257985,0.7071061,fgsm,,,False
35,1.0,False,3.4144533,2.230474,0.7071061,fgsm,,,False
36,1.0,False,3.5027957,1.0088053,0.7071061,fgsm,,,False
37,0.0,False,-1.6226578,-0.41673392,0.7071061,fgsm,,,False
38,0.0,False,-2.824574,-0.20193474,0.7071062,fgsm,,,False
39,0.0,False,-1.1045984,0.44842717,0.70710635,fgsm,,,False
40,0.0,False,-1.6520143,-0.012367155,0.7071063,fgsm,,,False
41,1.0,False,2.2345364,3.2082422,0.7071061,fgsm,,,False
42,0.0,False,-1.9459653,1.7607539,0.7071061,fgsm,,,False
43,1.0,False,5.0934987,3.1657348,0.7071145,fgsm,,,False
44,1.0,False,1.4838625,2.6559174,0.7071061,fgsm,,,False
45,0.0,False,-1.8391125,0.3562186,0.7071064,fgsm,,,False
46,1.0,False,2.9992101,2.8444507,0.7071061,fgsm,,,False
47,0.0,False,-2.750429,1.3372276,0.7071062,fgsm,,,False
48,1.0,False,3.6571963,1.618284,0.7071086,fgsm,,,False
49,0.0,False,-0.90369976,-0.23427275,0.7071061,fgsm,,,False
50,1.0,False,4.303573,3.44411,0.7071145,fgsm,,,False
51,1.0,False,2.6915483,0.7712146,0.7071061,fgsm,,,False
52,0.0,False,-3.1082458,0.47980487,0.70710635,fgsm,,,False
53,0.0,False,-2.1245623,0.06925173,0.70710635,fgsm,,,False
54,0.0,False,-2.9705954,1.0007082,0.7071061,fgsm,,,False
55,0.0,False,-3.3589606,0.25794184,0.70710653,fgsm,,,False
56,0.0,False,-2.3419125,0.60266554,0.70710623,fgsm,,,False
57,1.0,False,3.3948545,1.5674253,0.7071061,fgsm,,,False
58,1.0,False,2.4352105,2.578102,0.7071061,fgsm,,,False
59,1.0,False,4.5672646,2.1408699,0.7071145,fgsm,,,False
60,1.0,False,2.0100641,-0.13946126,0.7071064,fgsm,,,False
61,0.0,False,-3.6917484,1.7875302,0.70710933,fgsm,,,False
62,1.0,False,4.93942,2.6511006,0.7071145,fgsm,,,False
63,0.0,False,-2.9628654,0.24850711,0.70710653,fgsm,,,False
64,1.0,False,2.7065823,1.2253574,0.7071061,fgsm,,,False
65,0.0,False,-2.61715,-0.15215996,0.70710623,fgsm,,,False
66,0.0,False,-1.7718837,0.99397147,0.7071061,fgsm,,,False
67,1.0,False,2.6698866,1.4758725,0.7071061,fgsm,,,False
68,1.0,False,3.5679374,3.1314456,0.7071071,fgsm,,,False
69,0.0,False,-1.7007167,0.58274025,0.7071063,fgsm,,,False
70,1.0,False,4.436433,0.16414212,0.70711464,fgsm,,,False
71,0.0,True,-0.061799463,1.9800203,0.45137852,fgsm+growing_spheres,0.0010642409324645996,0.4513785243034363,True
72,0.0,False,-1.4625744,1.724375,0.7071061,fgsm,,,False
73,1.0,False,1.0847636,0.97664356,0.7071061,fgsm,,,False
74,1.0,False,3.6044617,4.3141747,0.70711625,fgsm,,,False
75,1.0,False,3.3682768,1.5507758,0.7071061,fgsm,,,False
76,1.0,False,3.169231,1.8286126,0.7071061,fgsm,,,False
77,1.0,False,3.0148287,3.6956942,0.70710933,fgsm,,,False
78,1.0,False,3.0306878,1.6620853,0.7071061,fgsm,,,False
79,1.0,False,3.2821846,3.6696649,0.7071088,fgsm,,,False
80,0.0,False,-3.3700829,1.5432659,0.7071061,fgsm,,,False
81,0.0,False,-1.1850315,-0.70891976,0.7071061,fgsm,,,False
82,1.0,False,2.7346084,0.92130387,0.7071061,fgsm,,,False
83,1.0,False,3.5835524,2.013411,0.7071075,fgsm,,,False
84,0.0,False,-3.674044,1.8118982,0.707109,fgsm,,,False
85,0.0,False,-2.0067153,1.2220505,0.7071061,fgsm,,,False
86,0.0,False,-4.2398815,1.1237807,0.7071145,fgsm,,,False
87,0.0,False,-2.0707161,1.5391029,0.7071061,fgsm,,,False
88,0.0,False,-2.802366,-1.2504785,0.7071061,fgsm,,,False
89,1.0,False,1.4589033,3.7233567,0.7071098,fgsm,,,False
90,1.0,False,3.571934,1.088963,0.7071073,fgsm,,,False
91,1.0,False,5.327891,3.5240602,0.7071149,fgsm,,,False
92,0.0,False,-2.7090046,-0.059680752,0.7071063,fgsm,,,False
93,1.0,False,5.0713024,1.7982337,0.7071145,fgsm,,,False
94,0.0,False,-1.4667659,-0.1261897,0.70710623,fgsm,,,False
95,1.0,False,2.5735953,2.6854,0.7071061,fgsm,,,False
96,1.0,False,2.9931002,-0.42379376,0.70710635,fgsm,,,False
97,0.0,False,-3.1206722,-1.599086,0.7071061,fgsm,,,False
98,0.0,False,-3.3846676,0.20007688,0.7071065,fgsm,,,False
99,1.0,False,1.0530306,1.9713256,0.7071061,fgsm,,,False
100,0.0,False,-1.031903,0.26168132,0.7071065,fgsm,,,False
101,1.0,False,1.7770152,2.6771421,0.7071061,fgsm,,,False
102,1.0,False,3.2529428,3.984478,0.7071142,fgsm,,,False
103,1.0,False,4.969757,2.1929939,0.7071145,fgsm,,,False
104,1.0,False,3.2500784,3.261994,0.7071061,fgsm,,,False
105,0.0,False,-1.4502546,1.9644192,0.7071061,fgsm,,,False
106,1.0,False,4.650023,1.0994723,0.7071145,fgsm,,,False
107,1.0,False,3.6239734,0.21671522,0.7071082,fgsm,,,False
