index,label,success,neutrality,proximity_l2,flip_correct
0,0,0,nan,nan,0
1,0,0,nan,nan,0
2,0,0,nan,nan,0
3,0,0,nan,nan,0
4,1,1,1.0132789611816406e-06,2.998962640762329,1
5,1,1,1.0132789611816406e-06,4.902058124542236,1
6,0,0,nan,nan,0
7,1,1,1.0132789611816406e-06,3.2838199138641357,1
8,1,1,2.086162567138672e-07,1.7815953493118286,1
9,0,0,nan,nan,0
10,1,1,1.5497207641601562e-06,4.281979560852051,1
11,1,1,1.0132789611816406e-06,3.2312774658203125,1
12,1,1,1.0132789611816406e-06,3.6880016326904297,1
13,0,0,nan,nan,0
14,1,1,1.0132789611816406e-06,4.255041599273682,1
15,0,0,nan,nan,0
16,0,0,nan,nan,0
17,0,0,nan,nan,0
18,1,1,1.0132789611816406e-06,3.1395022869110107,1
19,1,1,5.662441253662109e-07,3.7753961086273193,1
20,0,0,nan,nan,0
21,1,1,1.0132789611816406e-06,2.787318468093872,1
22,0,0,nan,nan,0
23,0,0,nan,nan,0
24,1,1,1.2218952178955078e-06,3.785754919052124,1
25,0,0,nan,nan,0
26,1,1,1.0132789611816406e-06,4.399252414703369,1
27,0,0,nan,nan,0
28,0,0,nan,nan,0
29,0,0,nan,nan,0
30,0,0,nan,nan,0
31,0,0,nan,nan,0
32,1,1,1.0132789611816406e-06,2.8359031677246094,1
33,1,1,7.748603820800781e-07,4.267398834228516,1
34,1,1,1.0132789611816406e-06,3.4827091693878174,1
35,1,1,1.0132789611816406e-06,3.8819937705993652,1
36,1,1,1.0132789611816406e-06,3.4706871509552,1
37,0,0,nan,nan,0
38,0,0,nan,nan,0
39,0,0,nan,nan,0
40,0,0,nan,nan,0
41,1,1,1.0132789611816406e-06,3.7121126651763916,1
42,0,0,nan,nan,0
43,1,1,1.0132789611816406e-06,5.801658630371094,1
44,1,1,1.0132789611816406e-06,2.8495264053344727,1
45,0,0,nan,nan,0
46,1,1,1.0132789611816406e-06,3.9326910972595215,1
47,0,0,nan,nan,0
48,1,1,1.0132789611816406e-06,3.812518835067749,1
49,0,0,nan,nan,0
50,1,1,1.0132789611816406e-06,5.312401294708252,1
51,1,1,1.0132789611816406e-06,2.6259539127349854,1
52,0,0,nan,nan,0
53,0,0,nan,nan,0
54,0,0,nan,nan,0
55,0,0,nan,nan,0
56,0,0,nan,nan,0
57,1,1,1.0132789611816406e-06,3.5513663291931152,1
58,1,1,1.0132789611816406e-06,3.3455495834350586,1
59,1,1,1.0132789611816406e-06,4.855676651000977,1
60,1,1,4.172325134277344e-07,1.6707890033721924,1
61,0,0,nan,nan,0
62,1,1,1.0132789611816406e-06,5.413857460021973,1
63,0,0,nan,nan,0
64,1,1,1.0132789611816406e-06,2.7839183807373047,1
65,0,0,nan,nan,0
66,0,0,nan,nan,0
67,1,1,1.0132789611816406e-06,2.8581199645996094,1
68,1,1,1.0132789611816406e-06,4.546744346618652,1
69,0,0,nan,nan,0
70,1,1,9.5367431640625e-07,4.203357696533203,1
71,0,0,nan,nan,0
72,0,0,nan,nan,0
73,1,1,1.0132789611816406e-06,1.2590346336364746,1
74,1,1,1.0132789611816406e-06,5.421684265136719,1
75,1,1,1.0132789611816406e-06,3.520343542098999,1
76,1,1,1.0132789611816406e-06,3.46526837348938,1
77,1,1,1.0132789611816406e-06,4.569569110870361,1
78,1,1,1.0132789611816406e-06,3.2641260623931885,1
79,1,1,1.0132789611816406e-06,4.722733497619629,1
80,0,0,nan,nan,0
81,0,0,nan,nan,0
82,1,1,1.0132789611816406e-06,2.7071073055267334,1
83,1,1,1.0132789611816406e-06,3.917356491088867,1
84,0,0,nan,nan,0
85,0,0,nan,nan,0
86,0,0,nan,nan,0
87,0,0,nan,nan,0
88,0,0,nan,nan,0
89,1,1,1.0132789611816406e-06,3.8157119750976562,1
90,1,1,1.0132789611816406e-06,3.5581657886505127,1
91,1,1,1.0132789611816406e-06,6.1911749839782715,1
92,0,0,nan,nan,0
93,1,1,1.0132789611816406e-06,5.20002555847168,1
94,0,0,nan,nan,0
95,1,1,1.0132789611816406e-06,3.5186357498168945,1
96,1,1,2.086162567138672e-07,2.543182611465454,1
97,0,0,nan,nan,0
98,0,0,nan,nan,0
99,1,1,1.0132789611816406e-06,2.0435264110565186,1
100,0,0,nan,nan,0
101,1,1,1.0132789611816406e-06,3.0165538787841797,1
102,1,1,1.0132789611816406e-06,4.943850040435791,1
103,1,1,1.0132789611816406e-06,5.245274543762207,1
104,1,1,1.0132789611816406e-06,4.403814792633057,1
105,0,0,nan,nan,0
106,1,1,1.0132789611816406e-06,4.608504772186279,1
107,1,1,1.1920928955078125e-07,3.410917282104492,1
108,0,0,nan,nan,0
109,1,1,1.0132789611816406e-06,2.5193042755126953,1
110,0,0,nan,nan,0
111,0,0,nan,nan,0
112,1,1,1.0132789611816406e-06,2.9850993156433105,1
113,1,1,1.0132789611816406e-06,3.7502055168151855,1
114,1,1,1.0132789611816406e-06,2.2423930168151855,1
115,1,1,1.0132789611816406e-06,4.211747646331787,1
116,1,1,1.0132789611816406e-06,5.177225112915039,1
117,1,1,1.0132789611816406e-06,4.141820430755615,1
118,0,0,nan,nan,0
119,0,0,nan,nan,0
120,0,0,nan,nan,0
121,0,0,nan,nan,0
122,1,1,1.0132789611816406e-06,6.1937255859375,1
123,1,1,1.0132789611816406e-06,7.200786113739014,1
124,1,1,1.0132789611816406e-06,6.258848190307617,1
125,1,1,1.0132789611816406e-06,3.8368287086486816,1
126,0,0,nan,nan,0
127,1,1,1.0132789611816406e-06,4.245619297027588,1
128,0,0,nan,nan,0
129,0,0,nan,nan,0
130,1,1,1.0132789611816406e-06,6.15307092666626,1
131,1,1,1.0132789611816406e-06,4.7205095291137695,1
132,1,1,1.0132789611816406e-06,3.7338969707489014,1
133,0,0,nan,nan,0
134,0,0,nan,nan,0
135,0,0,nan,nan,0
136,1,1,1.0132789611816406e-06,4.034677982330322,1
137,1,1,1.0132789611816406e-06,3.5480754375457764,1
138,0,0,nan,nan,0
139,1,1,1.0132789611816406e-06,3.529357433319092,1
140,0,0,nan,nan,0
141,1,1,1.0132789611816406e-06,6.6009440422058105,1
142,0,0,nan,nan,0
143,1,1,1.0132789611816406e-06,3.2106709480285645,1
144,0,0,nan,nan,0
145,1,1,1.0132789611816406e-06,4.487199783325195,1
146,1,1,1.0132789611816406e-06,3.5447702407836914,1
147,1,1,1.0132789611816406e-06,3.947336435317993,1
148,0,0,nan,nan,0
149,0,0,nan,nan,0
150,1,1,1.0132789611816406e-06,4.130367279052734,1
151,0,0,nan,nan,0
152,0,0,nan,nan,0
153,0,0,nan,nan,0
154,1,1,1.0132789611816406e-06,3.133084535598755,1
155,0,0,nan,nan,0
156,1,1,1.0132789611816406e-06,3.813058614730835,1
157,0,0,nan,nan,0
158,1,1,1.0132789611816406e-06,4.00103759765625,1
159,0,0,nan,nan,0
160,0,0,nan,nan,0
161,0,0,nan,nan,0
162,0,0,nan,nan,0
163,0,0,nan,nan,0
164,0,0,nan,nan,0
165,0,0,nan,nan,0
166,0,0,nan,nan,0
167,1,1,1.0132789611816406e-06,3.754263401031494,1
168,0,0,nan,nan,0
169,0,0,nan,nan,0
170,1,1,1.0132789611816406e-06,4.605874538421631,1
171,1,1,1.0132789611816406e-06,3.6487045288085938,1
172,1,1,1.0132789611816406e-06,3.6902871131896973,1
173,0,0,nan,nan,0
174,1,1,1.0132789611816406e-06,3.888375997543335,1
175,0,0,nan,nan,0
176,0,0,nan,nan,0
177,1,1,1.0132789611816406e-06,2.4156951904296875,1
178,0,0,nan,nan,0
179,1,1,2.086162567138672e-07,2.220499277114868,1
180,1,1,1.0132789611816406e-06,2.2767255306243896,1
181,0,0,nan,nan,0
182,0,0,nan,nan,0
183,0,0,nan,nan,0
184,0,0,nan,nan,0
185,1,1,1.0132789611816406e-06,4.113786220550537,1
186,1,1,1.0132789611816406e-06,4.005281448364258,1
187,0,0,nan,nan,0
188,0,0,nan,nan,0
189,0,0,nan,nan,0
190,1,1,1.0132789611816406e-06,3.326519727706909,1
191,0,0,nan,nan,0
192,1,1,1.0132789611816406e-06,5.139069557189941,1
193,0,0,nan,nan,0
194,0,0,nan,nan,0
195,1,1,1.0132789611816406e-06,3.317992925643921,1
196,1,1,1.0132789611816406e-06,5.179108619689941,1
197,1,1,1.0132789611816406e-06,1.2763797044754028,1
198,0,0,nan,nan,0
199,1,1,1.0132789611816406e-06,3.728104829788208,1
