feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,class
-3.321150064468383789e+00,1.720155000686645508e+00,3.566963434219360352e+00,7.143673300743103027e-01,-2.281781196594238281e+00,-1.143069148063659668e+00,-3.037292242050170898e+00,2.848202943801879883e+00,1.228451609611511230e+00,1.158566474914550781e+00,-5.856587886810302734e+00,5.213321208953857422e+00,2.075985670089721680e+00,-6.190336227416992188e+00,-4.513972282409667969e+00,0.000000000000000000e+00
-3.928798198699951172e+00,-2.683558225631713867e+00,4.330565631389617920e-01,-2.924571752548217773e+00,-6.485478281974792480e-01,3.046606779098510742e+00,-4.543432235717773438e+00,-2.676207780838012695e+00,5.285867452621459961e-01,-6.238775253295898438e-01,3.734127759933471680e+00,-3.141720294952392578e+00,2.476805448532104492e+00,1.659265160560607910e+00,-3.714012145996093750e+00,1.000000000000000000e+00
-1.888816714286804199e+00,4.898137092590332031e+00,2.191774845123291016e-01,2.066340684890747070e+00,-1.270057678222656250e+00,-4.212017059326171875e+00,-6.084498882293701172e+00,4.078735828399658203e+00,3.193366050720214844e+00,-9.405907243490219116e-02,-6.453617095947265625e+00,4.017814159393310547e+00,2.093910694122314453e+00,-4.102386951446533203e+00,-6.322931289672851562e+00,0.000000000000000000e+00
-6.091532856225967407e-02,-3.151606023311614990e-02,-5.060722351074218750e+00,-3.917494788765907288e-03,-2.787827253341674805e+00,-5.078366994857788086e-01,-3.420963048934936523e+00,-2.301974534988403320e+00,-5.733948349952697754e-01,-3.544298708438873291e-01,1.170541405677795410e+00,-3.868164777755737305e+00,-9.645934700965881348e-01,-1.650579094886779785e+00,-6.592962741851806641e+00,1.000000000000000000e+00
-4.836233615875244141e+00,6.976738572120666504e-01,-3.713782310485839844e+00,-1.165706634521484375e+00,-1.922124147415161133e+00,1.879660367965698242e+00,-4.978948593139648438e+00,-3.771113157272338867e-01,-3.427128076553344727e+00,-1.288493037223815918e+00,3.782881021499633789e+00,-1.442979335784912109e+00,-1.963657617568969727e+00,4.891700744628906250e+00,-5.881733417510986328e+00,1.000000000000000000e+00
-1.928962826728820801e+00,6.033394813537597656e+00,6.314713001251220703e+00,5.432729721069335938e-01,-3.211340427398681641e+00,-2.870831727981567383e+00,-1.701906681060791016e+00,3.537789821624755859e+00,-2.323752641677856445e-01,1.812150180339813232e-01,-4.881131172180175781e+00,4.026528358459472656e+00,6.339440345764160156e+00,-2.218152582645416260e-01,-4.733309745788574219e+00,0.000000000000000000e+00
-2.257204800844192505e-01,-3.274335384368896484e+00,-4.106724739074707031e+00,6.940430164337158203e+00,3.760224580764770508e+00,2.812808275222778320e+00,-6.509032845497131348e-02,-1.315644860267639160e+00,2.554396629333496094e+00,-9.788198471069335938e-01,-4.489144325256347656e+00,-2.812831163406372070e+00,-6.047767162322998047e+00,4.245547771453857422e+00,-2.683678865432739258e+00,2.000000000000000000e+00
-2.282975912094116211e+00,-2.083468437194824219e+00,7.474243640899658203e-01,-4.257827699184417725e-01,-4.621894836425781250e+00,1.408509492874145508e+00,-4.155666828155517578e+00,-3.135786771774291992e+00,2.391073465347290039e+00,1.439623475074768066e+00,1.126501560211181641e+00,-2.483307838439941406e+00,2.329382181167602539e+00,-1.320152997970581055e+00,-4.420021057128906250e+00,1.000000000000000000e+00
5.564772486686706543e-01,-3.784776687622070312e+00,-4.864078044891357422e+00,1.382085561752319336e+00,6.146322250366210938e+00,7.375678539276123047e+00,-1.506455659866333008e+00,-5.726905345916748047e+00,2.905223071575164795e-01,3.212859332561492920e-01,-3.201413393020629883e+00,-4.746660590171813965e-01,-3.526008129119873047e+00,9.973764419555664062e-01,-1.281106948852539062e+00,2.000000000000000000e+00
3.669383049011230469e+00,-2.566184997558593750e+00,-1.936413288116455078e+00,2.158930540084838867e+00,5.655243396759033203e+00,2.885967731475830078e+00,-3.136190891265869141e+00,-6.916301250457763672e+00,2.760010957717895508e+00,7.144600152969360352e-01,-1.766583561897277832e+00,1.716504812240600586e+00,-5.813679218292236328e+00,6.029262065887451172e+00,-3.176789283752441406e-01,2.000000000000000000e+00
-4.129246711730957031e+00,-3.237532615661621094e+00,3.754906654357910156e-01,1.090186476707458496e+00,1.329894423484802246e+00,2.104576349258422852e+00,-5.510674476623535156e+00,8.777428865432739258e-01,-1.365584611892700195e+00,-1.695864319801330566e+00,1.232670903205871582e+00,-1.748769044876098633e+00,5.005884766578674316e-01,1.441758751869201660e+00,-2.605741262435913086e+00,1.000000000000000000e+00
-2.860466003417968750e+00,5.531077861785888672e+00,2.071354866027832031e+00,-2.517924308776855469e-01,2.477053739130496979e-02,-4.435900211334228516e+00,-2.668509483337402344e+00,6.093424320220947266e+00,-1.343790411949157715e+00,2.191670179367065430e+00,-5.570455551147460938e+00,3.800711870193481445e+00,4.157491683959960938e+00,-3.810914754867553711e+00,-3.925704002380371094e+00,0.000000000000000000e+00
8.955348134040832520e-01,5.299245834350585938e+00,3.052977323532104492e+00,-1.742377042770385742e+00,-4.479593753814697266e+00,-6.193541049957275391e+00,-2.662295103073120117e+00,6.040231227874755859e+00,2.180500268936157227e+00,6.005467176437377930e-01,-2.571121215820312500e+00,4.319216251373291016e+00,1.502737522125244141e+00,-4.323215484619140625e+00,-3.826985359191894531e+00,0.000000000000000000e+00
8.151592612266540527e-01,3.809317827224731445e+00,1.886746406555175781e+00,-6.173454523086547852e-01,-6.120232105255126953e+00,-1.704035282135009766e+00,-2.489267826080322266e+00,3.413469314575195312e+00,-7.926736958324909210e-03,1.515159487724304199e+00,-5.318577766418457031e+00,2.899308919906616211e+00,2.886043548583984375e+00,-2.646955966949462891e+00,-1.654514431953430176e+00,0.000000000000000000e+00
-2.228385686874389648e+00,5.227986335754394531e+00,1.764454364776611328e+00,-2.637536525726318359e-01,-4.474123954772949219e+00,-2.697621583938598633e+00,-3.791785001754760742e+00,4.262379646301269531e+00,6.725796461105346680e-01,2.085847854614257812e+00,-3.567526102066040039e+00,2.465008974075317383e+00,3.361389636993408203e+00,-2.741674661636352539e+00,-2.051793813705444336e+00,0.000000000000000000e+00
4.441330432891845703e+00,-7.383711814880371094e+00,-4.670328617095947266e+00,6.367599010467529297e+00,6.126714706420898438e+00,6.932450771331787109e+00,-1.792633771896362305e+00,-4.669505119323730469e+00,1.344203114509582520e+00,-1.213728189468383789e-01,-1.347146272659301758e+00,2.402980566024780273e+00,-4.740136623382568359e+00,4.472716808319091797e+00,-3.329602479934692383e+00,2.000000000000000000e+00
