feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,class
-3.272701187839092807e+00,-1.445771689795409265e-01,-8.841267967601635913e-01,-1.970662185030223723e+00,-2.818637198040744973e+00,-4.734760937952508186e+00,-4.548703296331358281e+00,-1.282906959890547149e+00,-3.085664893259271402e+00,-1.965376117517553922e+00,-4.927695212908092870e+00,-5.053475192698517748e-01,-1.410199334724598241e+00,-5.100882954531285485e+00,-4.159577114358019578e+00,0.000000000000000000e+00
-2.838125729734396252e+00,-1.076463168665668713e+00,-1.418948945377513926e+00,-3.475099933805634755e+00,-4.286537227045029930e+00,-4.908700541319848121e+00,-3.952844510933489097e+00,-1.123414783331075917e+00,-2.090953319596933646e+00,-1.985041869223715505e+00,-3.459598963148717843e+00,-4.160166198406165528e-01,6.771566561929129868e-01,-3.265259159696833446e+00,-3.692358875102200511e+00,0.000000000000000000e+00
6.660757113497327353e+00,5.881297027101815011e+00,5.865946690428698318e+00,3.545591580548608235e+00,3.937598924170342851e+00,3.949930901430667163e+00,2.865362114566702090e+00,2.809599730155711406e+00,5.647037282696388161e+00,3.628479137447296665e+00,4.350285374521519088e+00,7.000824388158864764e+00,5.042874534609229187e+00,1.847183237824434165e+00,5.064625787456249029e+00,1.000000000000000000e+00
4.014876229288995901e+00,3.358386297817617105e+00,5.567982933672939616e+00,2.566322623283834758e+00,4.644923231534012764e+00,2.435496762458632336e+00,4.131938315013774066e+00,3.578219281215165637e+00,8.835662696002714256e+00,2.144210162879131687e+00,3.520596192714228412e+00,6.414727522850389718e+00,6.656066233397361920e+00,4.781613649615730210e+00,5.915711253706723127e+00,1.000000000000000000e+00
2.864485421007840316e+00,3.831098117540471470e+00,4.714944585428476387e+00,2.055364536619730842e+00,3.373997802668643686e+00,2.079389297817252569e+00,4.514761883025861344e+00,4.394621903539071894e+00,5.329433118270452852e+00,3.065633763009707025e+00,2.799774307609114388e+00,7.288704608918118666e+00,4.902813119810860876e+00,3.747580446609591220e+00,3.361471513365048125e+00,1.000000000000000000e+00
-3.379623429702486526e+00,-7.503017432611444049e-01,-1.494596257777828674e+00,-1.959876058492521445e+00,-3.782018889882837964e+00,-4.278307528036152441e+00,-4.307399380958635504e+00,-6.158193790985067029e-01,-3.627509243007965622e+00,-2.236169557494169347e+00,-5.016192237587951297e+00,-1.150484618810744042e+00,-3.418360126250679643e-01,-2.672859008690917193e+00,-3.083345661088345402e+00,0.000000000000000000e+00
-3.679341302728508012e+00,-4.877754901181169389e-03,-1.494891974976161997e+00,-3.857014920595312368e+00,-5.973053212370897036e+00,-4.721712424075059644e+00,-4.331220294611777710e+00,-2.940434363967812548e+00,-2.407543300091356642e+00,-1.894677181012311973e+00,-3.749362517951448481e+00,-4.687416620731956196e-01,-5.211763762791565835e-01,-3.821529593562615901e+00,-5.852177901866287613e+00,0.000000000000000000e+00
-2.702561379227147231e+00,1.793526135781489117e-01,1.844956700640912661e+00,-1.534762193101762762e+00,-3.281154174918109678e+00,-3.431370515781452912e+00,-4.171087972768432017e+00,-9.297469441052910177e-01,-1.366998114330897351e+00,-2.098518450412543146e+00,-5.092851405745889792e+00,-5.516924529648954412e-01,-7.701028503284125248e-01,-2.024815940416216264e+00,-5.634511247264827105e+00,0.000000000000000000e+00
-2.368142830391308351e+00,-1.544734359484125408e+00,-2.158138884580340644e+00,-1.228988186145785644e+00,-5.032112261730726566e+00,-4.405727767616576251e+00,-4.254863310483196770e+00,-1.469633010427970454e+00,-1.907312819112832125e+00,-2.562453089258033501e+00,-5.394217837361606982e+00,1.139074967415480977e-01,-2.154687371934682627e+00,-3.574171541440398503e+00,-4.107109395256382633e+00,0.000000000000000000e+00
-1.462866727818261881e+00,-1.335570533592567721e-01,-1.642035346705784216e+00,-1.854035540174781227e+00,-5.333552978057603866e+00,-5.023244046300553656e+00,-3.717220366442796742e+00,-1.212162496028140080e+00,-2.859888280547612904e+00,-1.015995492094849517e+00,-3.916876256351134344e+00,4.438956219770393563e-01,-1.437127119845782453e-02,-4.563933956019018190e+00,-5.266261636925900547e+00,0.000000000000000000e+00
-4.030295618881580388e+00,-5.079979021945677520e-01,-3.371832450676217618e-01,-1.889552639064976391e+00,-2.302556878138315000e+00,-3.894878291751979749e+00,-4.550818231060055119e+00,-9.246605461291695915e-01,-1.884028967516359510e+00,-1.585681307626485292e+00,-4.311696240115244549e+00,6.404386444070373496e-01,-1.487550791571442543e+00,-5.038811878837901048e+00,-5.608834627632336201e+00,0.000000000000000000e+00
6.377697013938503190e+00,2.921596146447105191e+00,5.202710927606507774e+00,3.134157079286703951e+00,3.263209263978736896e+00,2.002016241080583292e+00,4.882275807908342813e+00,3.533588733294157347e+00,4.966275149983548687e+00,1.494521624242574287e+00,1.912050942713862112e+00,5.577703026969131450e+00,5.848360783569273913e+00,3.357122254676278228e+00,5.410037703758858285e+00,1.000000000000000000e+00
2.780705902002535090e+00,4.937969755473939237e+00,6.876319814837604127e+00,2.833732343572398449e+00,2.030024561451394316e+00,2.737465282452401727e+00,3.576729904325564924e+00,4.502513603142076271e+00,5.771803444112163284e+00,1.509808563176866736e+00,1.905872244637281554e+00,6.245197212633250672e+00,5.614815085216487311e+00,3.427341896223356166e+00,4.919296556115626551e+00,1.000000000000000000e+00
-2.873260166619211464e+00,4.255506929989577580e-01,-8.195269348391346353e-01,-2.692023524929867406e+00,-4.682998848268626446e+00,-3.602252602181573060e+00,-4.204999317668080216e+00,-6.863982600817716273e-01,-1.897432407415071243e+00,-4.034134726582050412e-01,-5.386119441409432440e+00,3.018252749528796408e-01,-1.004935991148876884e+00,-4.118257760841063764e+00,-3.182535200818509047e+00,0.000000000000000000e+00
4.551010489827843841e+00,2.807415896716651371e+00,5.341261395778893473e+00,3.701908014253419754e+00,3.967343604950421376e+00,2.873083040387721443e+00,4.556030037385790266e+00,4.480674466084614949e+00,6.563259811409737132e+00,3.286927354084293817e+00,2.981831174567268761e+00,6.083327757987716744e+00,5.155811518326875564e+00,3.995726596352828786e+00,3.864833545775615775e+00,1.000000000000000000e+00
-2.850809718397365966e+00,2.979787784233998149e-01,3.217712963007017812e-01,-2.152986814703159890e+00,-4.879845427157537330e+00,-5.360286928245700189e+00,-5.313829256839916582e+00,-6.965047709790049835e-01,-5.108947589152315061e-01,-1.887537487188185148e+00,-4.712075870198318306e+00,-1.640272654760481230e-01,1.446375245131463760e-01,-1.849332784674476482e+00,-4.529735266229757862e+00,0.000000000000000000e+00
5.279995041426609248e+00,3.994138630451966598e+00,7.491144246116443917e+00,2.983907665227196748e+00,4.674757006108443136e+00,3.118184260375179484e+00,4.829134516022810963e+00,4.620407761650220380e+00,5.981796751603593698e+00,4.182184600633393146e+00,4.030755610928150823e+00,4.279018518601772847e+00,5.116826082881734905e+00,3.756488861351101161e+00,4.573460480113726412e+00,1.000000000000000000e+00
4.507614064342964966e+00,3.999044510529650598e+00,4.870041419987459541e+00,3.163934858793067129e+00,2.500948061698250680e+00,2.354231407234712137e+00,4.715133169187838647e+00,4.785482496021918664e+00,4.612771390033575614e+00,4.059763548492250074e+00,4.131324272228138028e+00,7.282932402288405882e+00,6.516236213812252487e+00,4.910129492144644558e+00,4.713767033184502964e+00,1.000000000000000000e+00
-3.164840080148876300e+00,-2.254402964776404117e-01,-2.926991138178996810e+00,-2.018147006187432257e+00,-4.790092909500261342e+00,-4.627683571194274315e+00,-3.516156141686416436e+00,-1.707851952814185337e+00,-1.322162171982919521e+00,-1.690250977155028478e+00,-5.128350457761932546e+00,5.029361406234947873e-01,-5.566722277233382421e-01,-3.466588476320729306e+00,-3.290493523892248362e+00,0.000000000000000000e+00
3.198617229441300669e+00,2.998303098774814490e+00,7.538348524685906327e+00,4.395816650415119931e+00,3.066086546785723232e+00,3.634306029561634066e+00,2.977843100424244049e+00,3.217999815958195065e+00,4.252513449793813294e+00,2.479334683511680737e+00,4.049880641987851249e+00,6.134216947502491912e+00,6.251967560146093561e+00,2.658378511880924666e+00,5.015457334932546196e+00,1.000000000000000000e+00
-1.851526470557244064e+00,-6.505518938910110904e-01,-2.265598804924739973e+00,-1.890239336991284214e+00,-5.681845266218530810e+00,-3.952870196143053239e+00,-4.831602463668876801e+00,-1.054383647751106379e+00,-3.312738594079038368e+00,-1.035052718811671824e+00,-5.337452168914284201e+00,-1.117600905769386310e+00,-3.212236665631913901e+00,-3.961050546323460431e+00,-2.625785189514270090e+00,0.000000000000000000e+00
4.947324393387558139e+00,5.533951741902065180e+00,4.932538075238319664e+00,3.704759455039518645e+00,1.885974907732687278e+00,1.799916703851784927e+00,3.510583115027081647e+00,5.521652755428993586e+00,5.849417877921801789e+00,4.063741470262134392e+00,4.446407072328707244e+00,8.106692978644709058e+00,4.792148152797252258e+00,5.051658505388186171e+00,5.323131707334376905e+00,1.000000000000000000e+00
3.022550901754165853e+00,3.882835654570573780e+00,6.800824497511776201e+00,3.765531989691691450e+00,1.631894567467521817e+00,1.703900525076485151e+00,4.267166524619703694e+00,4.342844275302926604e+00,7.972458498630238921e+00,1.863984910962120045e+00,4.358096883159488399e+00,7.376664451509345355e+00,8.153932548700179694e+00,3.560609264808320962e+00,4.736069747824883436e+00,1.000000000000000000e+00
-4.755950415235855822e+00,4.914664302799749418e-01,-2.341285335237614618e+00,-1.402597425273577336e+00,-4.208107497603180924e+00,-5.008632742062026466e+00,-5.046071872319062734e+00,-1.017515833450500784e-01,-1.906883814561004531e+00,-9.765129314519620518e-01,-3.263188022701693836e+00,-1.443582429544933543e+00,4.991350804409047104e-01,-3.852035184317129435e+00,-4.833884509177340583e+00,0.000000000000000000e+00
2.825439252635323584e+00,4.580660329723730939e+00,6.385328189626832796e+00,3.994544530983162200e+00,2.663708223218708149e+00,2.827203987732376689e+00,4.098861549245098601e+00,4.908929790623822953e+00,4.497213887612147687e+00,2.717329107533322130e+00,5.448458846327273619e+00,5.354535146588199623e+00,5.576920626364869626e+00,3.521564575250794693e+00,3.206835323819638095e+00,1.000000000000000000e+00
-2.589789252581208068e+00,-3.284154521933188020e-01,1.865528163552387930e-01,-2.891328287441528477e+00,-5.481032271108407627e+00,-4.792015923158849056e+00,-4.747267116400803566e+00,-4.679547252669121193e-01,-2.193850649521625229e+00,-1.168598957716129538e+00,-5.931703687953541859e+00,1.043084676926177234e+00,-9.056997650584873716e-01,-3.014655160902919739e+00,-3.807550002959422031e+00,0.000000000000000000e+00
