feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,class
-1.788701295852661133e+00,2.078543454408645630e-01,-6.651597619056701660e-01,1.819387555122375488e+00,9.855418205261230469e-01,4.725079536437988281e-01,1.598675608634948730e+00,-1.816201806068420410e+00,-1.683947205543518066e+00,3.513742089271545410e-01,8.229768872261047363e-01,1.308560252189636230e+00,-4.595864415168762207e-01,-5.656493306159973145e-01,1.444674849510192871e+00,1.000000000000000000e+00
-5.974479019641876221e-02,-1.881497383117675781e+00,-7.640577554702758789e-01,-1.386304736137390137e+00,7.646690607070922852e-01,2.849286794662475586e-01,6.755363941192626953e-01,1.177682995796203613e+00,7.932900190353393555e-01,1.997335791587829590e+00,-2.703613996505737305e+00,-1.020610332489013672e+00,1.977362513542175293e+00,-6.449233293533325195e-01,7.601765394210815430e-01,1.000000000000000000e+00
-5.752925276756286621e-01,5.487536787986755371e-01,-1.569347381591796875e+00,-1.074186801910400391e+00,8.971100449562072754e-01,2.519124448299407959e-01,-7.121389508247375488e-01,-1.300397962331771851e-01,-8.970351219177246094e-01,-9.463068842887878418e-02,-4.753026485443115234e+00,2.981288731098175049e-01,-5.770300030708312988e-01,-9.841152429580688477e-01,7.725908160209655762e-01,1.000000000000000000e+00
2.918624579906463623e-01,-7.995230555534362793e-01,6.309598684310913086e-01,-7.355444133281707764e-02,-3.085944056510925293e-01,6.184807419776916504e-02,1.902067288756370544e-02,-8.097832798957824707e-01,9.969528913497924805e-01,9.496809244155883789e-01,9.741395711898803711e-01,-5.413806438446044922e-01,-1.112864390015602112e-01,4.510346651077270508e-01,-1.539389491081237793e-01,0.000000000000000000e+00
-1.951321512460708618e-01,4.237972199916839600e-01,1.099911689758300781e+00,-1.069938987493515015e-01,8.368810415267944336e-01,-2.484844446182250977e+00,7.905208468437194824e-01,-1.666025757789611816e+00,7.162171006202697754e-01,-1.513870358467102051e-01,-5.336735844612121582e-01,1.628472208976745605e+00,-1.043533921241760254e+00,1.078030228614807129e+00,1.986510872840881348e+00,1.000000000000000000e+00
1.056948781013488770e+00,-1.088182091712951660e+00,7.470275759696960449e-01,-7.331507205963134766e-01,-1.073622345924377441e+00,2.509658813476562500e+00,-5.562286376953125000e-01,-1.699192672967910767e-01,1.482961535453796387e+00,-6.044204831123352051e-01,8.463231325149536133e-01,2.400658130645751953e+00,-2.044784784317016602e+00,1.143804430961608887e+00,-2.934318482875823975e-01,1.000000000000000000e+00
1.328989505767822266e+00,2.020764350891113281e+00,1.645846128463745117e+00,-5.229602456092834473e-01,-3.916779160499572754e-01,2.799220979213714600e-01,-9.806448221206665039e-01,4.390176832675933838e-01,4.414900392293930054e-02,-1.256975680589675903e-01,3.827039524912834167e-02,-2.915566861629486084e-01,8.337177634239196777e-01,4.512469768524169922e-01,-2.923153340816497803e-01,0.000000000000000000e+00
1.609010696411132812e+00,-8.753084540367126465e-01,-6.559572219848632812e-01,3.871681451797485352e+00,1.751294970512390137e+00,-6.270601153373718262e-01,-9.059609174728393555e-01,-4.094618558883666992e-01,1.072458863258361816e+00,8.521472215652465820e-01,2.272295236587524414e+00,-1.077843546867370605e+00,1.375811100006103516e-01,5.016171932220458984e-01,-4.992400109767913818e-01,1.000000000000000000e+00
-2.761786460876464844e+00,-1.238354086875915527e+00,-5.040910467505455017e-02,1.780794560909271240e-01,4.910902678966522217e-01,1.041026592254638672e+00,-3.067033052444458008e+00,-1.817076444625854492e+00,3.275231719017028809e-01,2.178937673568725586e+00,3.170945346355438232e-01,5.143079161643981934e-01,-1.517524123191833496e+00,-7.417210377752780914e-03,-1.642537593841552734e+00,1.000000000000000000e+00
-3.427236080169677734e-01,2.644358575344085693e-02,5.262597203254699707e-01,1.185139775276184082e+00,-5.909684896469116211e-01,-3.768054246902465820e+00,-2.933151423931121826e-01,6.402010321617126465e-01,2.329218387603759766e-01,-1.210284471511840820e+00,8.290300029329955578e-04,1.680611371994018555e+00,8.145568370819091797e-01,-4.214655458927154541e-01,7.851868867874145508e-01,1.000000000000000000e+00
-1.686151921749114990e-01,-1.631081342697143555e+00,-1.801986336708068848e+00,-2.138661146163940430e+00,2.300297021865844727e+00,1.973165988922119141e+00,-6.039857268333435059e-01,1.125196576118469238e+00,-6.541500687599182129e-01,5.345237851142883301e-01,-2.847051322460174561e-01,1.060031652450561523e+00,-2.410300731658935547e+00,-1.900158822536468506e-01,1.300963282585144043e+00,1.000000000000000000e+00
-1.437783479690551758e+00,4.596035480499267578e-01,-7.706320881843566895e-01,3.505578637123107910e-02,-7.350553870201110840e-01,-9.630157351493835449e-01,-2.313752472400665283e-01,1.002512812614440918e+00,1.287327259778976440e-01,1.656918227672576904e-02,-3.110384047031402588e-01,-6.425063610076904297e-01,7.063702344894409180e-01,5.630602836608886719e-01,9.482074379920959473e-01,0.000000000000000000e+00
1.275368571281433105e+00,8.676220774650573730e-01,1.533610463142395020e+00,1.353066682815551758e+00,2.184429317712783813e-01,-6.724914312362670898e-01,2.454062938690185547e+00,-1.413370609283447266e+00,6.393766999244689941e-01,-2.072989940643310547e+00,2.880704879760742188e+00,6.696165800094604492e-01,-3.671708405017852783e-01,-9.222562313079833984e-01,4.729467928409576416e-01,1.000000000000000000e+00
-1.984358310699462891e+00,2.751083374023437500e-01,1.667358040809631348e+00,-1.880631089210510254e+00,-2.545117139816284180e+00,1.132194757461547852e+00,-1.018108367919921875e+00,-2.120928525924682617e+00,9.755676388740539551e-01,1.373385071754455566e+00,2.285752773284912109e+00,-1.317091941833496094e+00,-5.735216736793518066e-01,6.962745785713195801e-01,1.242898963391780853e-02,1.000000000000000000e+00
-1.026764418929815292e-02,5.715742707252502441e-01,2.406463772058486938e-01,-5.894867777824401855e-01,1.495254874229431152e+00,1.751257330179214478e-01,-1.083203911781311035e+00,-3.865439295768737793e-01,3.368177115917205811e-01,9.129324555397033691e-01,4.574963152408599854e-01,5.512542724609375000e-01,1.699415802955627441e+00,-4.933929443359375000e-01,1.399373888969421387e+00,0.000000000000000000e+00
2.341175317764282227e+00,-5.848038792610168457e-01,9.257823228836059570e-01,-2.350347995758056641e+00,9.717125892639160156e-01,1.058695435523986816e+00,-1.375778466463088989e-01,3.443269729614257812e-01,-1.091245651245117188e+00,-2.469826936721801758e-01,-6.015765070915222168e-01,8.032802343368530273e-01,2.870841503143310547e+00,5.574173331260681152e-01,4.479050934314727783e-01,1.000000000000000000e+00
-2.974653840065002441e-01,-5.086252093315124512e-01,-1.716403365135192871e-01,1.299600362777709961e+00,5.433579087257385254e-01,4.847342669963836670e-01,-1.247057557106018066e+00,1.534203290939331055e-01,9.235640764236450195e-01,7.587901949882507324e-01,-4.485229253768920898e-01,1.231849938631057739e-01,2.132270932197570801e-01,-4.546285271644592285e-01,1.069842338562011719e+00,0.000000000000000000e+00
1.018680095672607422e+00,7.710862159729003906e-02,-5.460701584815979004e-01,9.120743274688720703e-01,1.236958026885986328e+00,5.952903628349304199e-01,-5.672817230224609375e-01,2.520427107810974121e-01,1.746548116207122803e-01,-2.245931923389434814e-01,-7.686004042625427246e-01,-1.028262376785278320e+00,5.335141420364379883e-01,3.146273195743560791e-01,-3.993598818778991699e-01,0.000000000000000000e+00
