idx,y,crawler_success,gs_success,gs_radius_found,angle_x_crawler_gs_deg,sphere_frac,sphere_vol,dist_x_to_crawler,dist_x_to_gs,dist_crawler_to_gs,ring_n,ring_r_min,ring_r_max,ring_count_y0,ring_count_y1,ring_count_pred0,ring_count_pred1
0,1.0,True,True,1.1000000000000008,42.058758284458406,0.0,0.0,0.7656893134117126,1.0986335277557373,0.7376627922058105,0,0.7656893134117126,1.1000000000000008,0,0,0,0
1,1.0,True,True,2.8399999999999834,49.708833441480664,0.0,0.0,1.4237748384475708,2.833117961883545,2.1992502212524414,0,1.4237748384475708,2.8399999999999834,0,0,0,0
2,1.0,True,True,3.979999999999959,71.51372992051611,0.0,0.0,1.7396992444992065,3.974168539047241,3.7994883060455322,0,1.7396992444992065,3.979999999999959,0,0,0,0
3,0.0,True,True,0.9800000000000008,51.37810720736586,0.0,0.0,0.7772326469421387,0.9730693101882935,0.7789872884750366,0,0.7772326469421387,0.9800000000000008,0,0,0,0
4,1.0,True,True,1.480000000000001,46.829589985730564,0.0,0.0,1.135436773300171,1.4738128185272217,1.0823721885681152,0,1.135436773300171,1.480000000000001,0,0,0,0
5,1.0,True,True,0.1,99.33689100827775,0.0,0.0,0.15152670443058014,3.6893541732752055e-07,0.15152676403522491,0,0.1,0.15152670443058014,0,0,0,0
6,0.0,True,True,0.4700000000000003,48.61547766280792,0.0,0.0,0.30930081009864807,0.4676825702190399,0.3508974313735962,0,0.30930081009864807,0.4700000000000003,0,0,0,0
7,1.0,True,False,inf,,0.0,0.0,2.7278459072113037,0.0,2.7278459072113037,0,,,0,0,0,0
8,1.0,True,True,3.4999999999999694,49.142724079358715,0.0,0.0,1.7256933450698853,3.490140199661255,2.6979610919952393,0,1.7256933450698853,3.4999999999999694,0,0,0,0
9,1.0,True,True,2.959999999999981,53.78271380080136,0.0,0.0,1.6212513446807861,2.9500019550323486,2.3831207752227783,0,1.6212513446807861,2.959999999999981,0,0,0,0
10,1.0,True,True,2.0899999999999994,57.92268091546485,0.0,0.0,1.1283869743347168,2.0889408588409424,1.7701290845870972,0,1.1283869743347168,2.0899999999999994,0,0,0,0
11,0.0,True,True,0.9100000000000007,46.64807678269597,0.0,0.0,0.6108478307723999,0.9011799097061157,0.6553402543067932,0,0.6108478307723999,0.9100000000000007,0,0,0,0
12,1.0,True,True,3.0699999999999785,46.20017285029303,0.0,0.0,1.9298988580703735,3.068598747253418,2.2232792377471924,0,1.9298988580703735,3.0699999999999785,0,0,0,0
13,1.0,True,False,inf,,0.0,0.0,2.2052817344665527,0.0,2.2052817344665527,0,,,0,0,0,0
14,0.0,True,True,1.2500000000000009,46.10391592141061,0.0,0.0,0.989531934261322,1.2453030347824097,0.9061798453330994,0,0.989531934261322,1.2500000000000009,0,0,0,0
15,1.0,True,True,1.0500000000000007,40.534294854781415,0.0,0.0,0.8051201701164246,1.045574426651001,0.6796026229858398,0,0.8051201701164246,1.0500000000000007,0,0,0,0
16,0.0,True,True,1.440000000000001,54.12105032630041,0.0,0.0,1.0774452686309814,1.431151270866394,1.1839100122451782,0,1.0774452686309814,1.440000000000001,0,0,0,0
17,0.0,True,True,0.8700000000000007,48.11280929658693,0.0,0.0,0.5801942348480225,0.8634288311004639,0.6427997350692749,0,0.5801942348480225,0.8700000000000007,0,0,0,0
18,1.0,True,True,1.2200000000000009,38.6882197112971,0.0,0.0,0.8792844414710999,1.2129029035568237,0.7611593008041382,0,0.8792844414710999,1.2200000000000009,0,0,0,0
19,1.0,True,True,2.5899999999999888,41.366408817201,0.0,0.0,1.6704365015029907,2.5857083797454834,1.7300422191619873,0,1.6704365015029907,2.5899999999999888,0,0,0,0
20,1.0,True,True,2.399999999999993,45.50725406961904,0.0,0.0,1.5010954141616821,2.3946754932403564,1.7173755168914795,0,1.5010954141616821,2.399999999999993,0,0,0,0
21,0.0,True,True,1.7700000000000014,62.57608944375087,0.0,0.0,1.3173547983169556,1.762681245803833,1.6442351341247559,0,1.3173547983169556,1.7700000000000014,0,0,0,0
22,1.0,True,True,1.2500000000000009,50.371747433350954,0.0,0.0,0.7881442308425903,1.2464866638183594,0.9600671529769897,0,0.7881442308425903,1.2500000000000009,0,0,0,0
23,0.0,True,True,1.7600000000000013,55.325760604023884,0.0,0.0,1.407473087310791,1.756321907043457,1.5009945631027222,0,1.407473087310791,1.7600000000000013,0,0,0,0
24,0.0,True,True,1.330000000000001,45.63370753213878,0.0,0.0,0.9626756310462952,1.3273512125015259,0.9495306015014648,0,0.9626756310462952,1.330000000000001,0,0,0,0
25,1.0,True,True,2.2299999999999964,48.76604675534424,0.0,0.0,1.4444289207458496,2.2212512493133545,1.670551061630249,0,1.4444289207458496,2.2299999999999964,0,0,0,0
26,1.0,True,True,3.1299999999999772,62.3942489067983,0.0,0.0,1.4210710525512695,3.129037857055664,2.7729692459106445,0,1.4210710525512695,3.1299999999999772,0,0,0,0
27,0.0,True,True,1.280000000000001,49.232467756551806,0.0,0.0,1.0116801261901855,1.2727233171463013,0.9806896448135376,0,1.0116801261901855,1.280000000000001,0,0,0,0
28,1.0,True,True,1.0700000000000007,50.32945146960413,0.0,0.0,0.7844019532203674,1.0651265382766724,0.8264849185943604,0,0.7844019532203674,1.0700000000000007,0,0,0,0
29,1.0,True,True,1.2500000000000009,48.29991469460669,0.0,0.0,0.8778331875801086,1.2434896230697632,0.9298147559165955,0,0.8778331875801086,1.2500000000000009,0,0,0,0
30,0.0,True,True,1.0200000000000007,45.872084464971216,0.0,0.0,0.7968364953994751,1.0148730278015137,0.7340283393859863,0,0.7968364953994751,1.0200000000000007,0,0,0,0
31,0.0,True,True,1.5100000000000011,54.76075305328217,0.0,0.0,1.049281358718872,1.5010244846343994,1.2395743131637573,1,1.049281358718872,1.5100000000000011,1,0,1,0
