feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,class
1.463564276695251465e+00,-5.769951269030570984e-02,-6.089435219764709473e-01,1.647812843322753906e+00,8.998145461082458496e-01,4.223271906375885010e-01,1.443875193595886230e+00,-1.640854001045227051e+00,-1.534517168998718262e+00,3.149227499961853027e-01,7.512243986129760742e-01,1.205415129661560059e+00,-4.109543263912200928e-01,-5.083416104316711426e-01,1.314560174942016602e+00,1.000000000000000000e+00
4.041044712066650391e-01,1.852791428565979004e+00,-7.256851792335510254e-01,-1.273932814598083496e+00,7.158069610595703125e-01,2.610189318656921387e-01,6.305415034294128418e-01,1.083519935607910156e+00,7.306711673736572266e-01,1.859664678573608398e+00,-2.504170179367065430e+00,-9.584891200065612793e-01,1.829541087150573730e+00,-5.974503755569458008e-01,7.124595046043395996e-01,1.000000000000000000e+00
6.993136405944824219e-01,-2.131413370370864868e-01,-1.363076210021972656e+00,-9.223880171775817871e-01,7.715083360671997070e-01,2.295731455087661743e-01,-6.113384962081909180e-01,-1.094239875674247742e-01,-7.636889815330505371e-01,-8.934782445430755615e-02,-4.139297485351562500e+00,2.607187628746032715e-01,-5.155745744705200195e-01,-8.535987138748168945e-01,6.501536369323730469e-01,1.000000000000000000e+00
5.610885024070739746e-01,-1.571837306022644043e+00,1.122585892677307129e+00,-1.636936217546463013e-01,-6.832770705223083496e-01,1.478627771139144897e-01,-8.632127940654754639e-02,-1.600344777107238770e+00,1.914932012557983398e+00,1.960758209228515625e+00,1.861971139907836914e+00,-9.716454744338989258e-01,-1.558526605367660522e-01,9.511536955833435059e-01,-1.983711570501327515e-01,0.000000000000000000e+00
9.151627123355865479e-02,-4.931151270866394043e-01,1.020568728446960449e+00,-1.040854603052139282e-01,7.734646201133728027e-01,-2.317890405654907227e+00,7.286905646324157715e-01,-1.551998615264892578e+00,6.730599999427795410e-01,-1.523601710796356201e-01,-4.881885051727294922e-01,1.524305462837219238e+00,-9.696577191352844238e-01,1.001816272735595703e+00,1.859414219856262207e+00,1.000000000000000000e+00
-1.081357002258300781e+00,9.714804887771606445e-01,6.823570132255554199e-01,-6.672336459159851074e-01,-1.003146409988403320e+00,2.331797838211059570e+00,-5.056988000869750977e-01,-1.504673212766647339e-01,1.366711020469665527e+00,-5.565925240516662598e-01,7.733783721923828125e-01,2.227700710296630859e+00,-1.892210483551025391e+00,1.055082678794860840e+00,-2.806218266487121582e-01,1.000000000000000000e+00
1.950488090515136719e+00,3.002279996871948242e+00,2.519692659378051758e+00,-8.581557273864746094e-01,-6.110306382179260254e-01,5.016270279884338379e-01,-1.484238028526306152e+00,6.672785878181457520e-01,9.218057245016098022e-02,-1.813562065362930298e-01,6.368443369865417480e-02,-4.435084462165832520e-01,1.277825951576232910e+00,7.499883174896240234e-01,-4.105739891529083252e-01,0.000000000000000000e+00
-1.269309163093566895e+00,9.038404226303100586e-01,-5.682559609413146973e-01,3.431366205215454102e+00,1.542043566703796387e+00,-5.469927191734313965e-01,-8.093646168708801270e-01,-3.349758088588714600e-01,9.402103424072265625e-01,7.465782165527343750e-01,1.996470451354980469e+00,-9.566854834556579590e-01,1.124104633927345276e-01,4.353816211223602295e-01,-4.558798074722290039e-01,1.000000000000000000e+00
2.326858997344970703e+00,8.703358769416809082e-01,-5.001204460859298706e-02,1.367257535457611084e-01,3.973187804222106934e-01,9.104333519935607910e-01,-2.658604860305786133e+00,-1.566909432411193848e+00,2.924518585205078125e-01,1.867421746253967285e+00,2.615314722061157227e-01,4.459427893161773682e-01,-1.290979266166687012e+00,-2.264438755810260773e-02,-1.416242241859436035e+00,1.000000000000000000e+00
2.248592227697372437e-01,-2.274884879589080811e-01,4.754170477390289307e-01,1.076518297195434570e+00,-5.397249460220336914e-01,-3.450600385665893555e+00,-2.649083137512207031e-01,5.961775779724121094e-01,2.150154709815979004e-01,-1.097407937049865723e+00,1.032533217221498489e-02,1.544500112533569336e+00,7.596964240074157715e-01,-3.889846503734588623e-01,7.102640271186828613e-01,1.000000000000000000e+00
