idx,dataset,y,pred_target,crawler_success,gs_success,gs_radius_found,angle_x_crawler_gs_deg,sphere_frac,sphere_vol,dist_x_to_crawler,dist_x_to_gs,dist_crawler_to_gs,ring_n,ring_r_min,ring_r_max,ring_count_y0,ring_count_y1,ring_count_pred0,ring_count_pred1,attr_methods,attr_baselines,attr_ig_steps,attr_topk,attr_sg_samples,attr_sg_stdevs,attr_sg_nt_type,attr_perturb_samples,attr_perturbations_per_eval,attr_ig_zero_success,attr_ig_zero_sensitivity,attr_ig_zero_fidelity_del_auc,attr_ig_zero_fidelity_ins_auc,attr_ig_zero_fidelity_del_delta_topk,attr_ig_zero_fidelity_ins_delta_topk,attr_ig_zero_stability_lipschitz,attr_ig_zero_stability_mean_attr_change,attr_ig_zero_cosine_truegrad,attr_ig_zero_boundary_alignment,attr_ig_boundary_success,attr_ig_boundary_sensitivity,attr_ig_boundary_fidelity_del_auc,attr_ig_boundary_fidelity_ins_auc,attr_ig_boundary_fidelity_del_delta_topk,attr_ig_boundary_fidelity_ins_delta_topk,attr_ig_boundary_stability_lipschitz,attr_ig_boundary_stability_mean_attr_change,attr_ig_boundary_cosine_truegrad,attr_ig_boundary_boundary_alignment,attr_lime_zero_success,attr_lime_zero_sensitivity,attr_lime_zero_fidelity_del_auc,attr_lime_zero_fidelity_ins_auc,attr_lime_zero_fidelity_del_delta_topk,attr_lime_zero_fidelity_ins_delta_topk,attr_lime_zero_stability_lipschitz,attr_lime_zero_stability_mean_attr_change,attr_lime_zero_cosine_truegrad,attr_lime_zero_boundary_alignment,attr_lime_boundary_success,attr_lime_boundary_sensitivity,attr_lime_boundary_fidelity_del_auc,attr_lime_boundary_fidelity_ins_auc,attr_lime_boundary_fidelity_del_delta_topk,attr_lime_boundary_fidelity_ins_delta_topk,attr_lime_boundary_stability_lipschitz,attr_lime_boundary_stability_mean_attr_change,attr_lime_boundary_cosine_truegrad,attr_lime_boundary_boundary_alignment,attr_ks_zero_success,attr_ks_zero_sensitivity,attr_ks_zero_fidelity_del_auc,attr_ks_zero_fidelity_ins_auc,attr_ks_zero_fidelity_del_delta_topk,attr_ks_zero_fidelity_ins_delta_topk,attr_ks_zero_stability_lipschitz,attr_ks_zero_stability_mean_attr_change,attr_ks_zero_cosine_truegrad,attr_ks_zero_boundary_alignment,attr_ks_boundary_success,attr_ks_boundary_sensitivity,attr_ks_boundary_fidelity_del_auc,attr_ks_boundary_fidelity_ins_auc,attr_ks_boundary_fidelity_del_delta_topk,attr_ks_boundary_fidelity_ins_delta_topk,attr_ks_boundary_stability_lipschitz,attr_ks_boundary_stability_mean_attr_change,attr_ks_boundary_cosine_truegrad,attr_ks_boundary_boundary_alignment
0,data_wgs,1,1,True,True,1.0499999999999998,65.62682042720779,0.0,0.0,0.8551645874977112,0.9604921340942383,0.9878873825073242,0,0.8551645874977112,1.0499999999999998,0,0,0,0,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,64,True,,-1.8928261995315552,2.3259618282318115,8.248859405517578,3.6616926193237305,8.985943794250488,0.19585811470945677,0.4143313467502594,-0.272603839635849,True,,1.0836217403411865,4.373945236206055,4.93168306350708,4.80114221572876,6.798995018005371,0.11787067912518978,0.8270782828330994,-0.5461247563362122,True,,-0.36704379320144653,2.126532793045044,6.798807144165039,3.4026670455932617,36.9121208190918,0.9008569260438283,0.30501532554626465,-0.1696227639913559,True,,1.0803561210632324,4.3622894287109375,4.91440486907959,4.856513023376465,3.433770179748535,0.0794476617127657,0.8004031181335449,-0.5511751770973206,True,,-1.0184533596038818,2.5579464435577393,6.130826950073242,3.8416953086853027,41.27360534667969,1.031797961393992,0.45520055294036865,-0.23647043108940125,True,,1.087841272354126,4.372026443481445,4.91440486907959,4.856513023376465,2.994448661804199,0.08962186798453331,0.8182148933410645,-0.5429279208183289
1,data_wgs,1,1,True,True,1.75,34.077721198705774,0.0,0.0,1.339028000831604,1.5846402645111084,0.8882964253425598,0,1.339028000831604,1.75,0,0,0,0,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,64,True,,-1.3048958778381348,4.393640041351318,8.233051300048828,6.028943061828613,1.7761446237564087,0.04576331085215012,0.6247167587280273,0.5344799757003784,True,,1.3207018375396729,4.611930847167969,5.168319225311279,5.201177597045898,1.9014688730239868,0.04079860399166743,0.9488943219184875,0.3468247652053833,True,,-0.8827983736991882,4.343799591064453,8.09378433227539,5.272359371185303,32.525657653808594,0.6978352000315984,0.6177234649658203,0.5882115364074707,True,,1.3214590549468994,4.616746425628662,5.168319225311279,5.201177597045898,2.4385318756103516,0.06048306077718735,0.9409948587417603,0.35874563455581665,True,,-1.0030184984207153,5.139955997467041,6.930391311645508,7.044360160827637,45.11137390136719,1.033940452337265,0.6531076431274414,0.5352468490600586,True,,1.3237364292144775,4.620641708374023,5.168319225311279,5.201177597045898,3.906846761703491,0.07163724477092424,0.9506857395172119,0.35566723346710205
2,data_wgs,1,1,True,True,1.4,39.49690132406848,0.0,0.0,1.4082282781600952,1.3896907567977905,0.9455534815788269,0,1.4,1.4082282781600952,0,0,0,0,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,64,True,,0.07550132274627686,6.1328840255737305,5.883723735809326,7.091907024383545,9.620603561401367,0.14965461219350498,0.42211806774139404,0.7978934645652771,True,,1.6042163372039795,4.593282699584961,5.4084601402282715,5.486934185028076,1.76612389087677,0.04569142417361339,0.7515132427215576,0.2123584747314453,True,,-0.3395068049430847,5.69892692565918,7.703230381011963,6.449382781982422,31.185884475708008,0.7226362029711405,0.4106903374195099,0.8574052453041077,True,,1.6299350261688232,4.6015729904174805,5.4084601402282715,5.486934185028076,5.887092113494873,0.12263344675302505,0.7411621809005737,0.24165350198745728,True,,0.675162136554718,6.246861457824707,5.042126655578613,7.14243221282959,39.11196517944336,0.8350692907969157,0.419063001871109,0.8562743067741394,True,,1.600718379020691,4.591675758361816,5.4084601402282715,5.486934185028076,5.364439487457275,0.14303979873657227,0.7482466697692871,0.26042136549949646
3,data_wgs,0,0,True,True,0.7,49.042551292309014,0.004,0.00023319835864785282,0.8822988271713257,0.6827172636985779,0.6744340658187866,0,0.7,0.8822988271713257,0,0,0,0,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,64,True,,-0.1014966070652008,1.5068273544311523,3.0808961391448975,1.1853914260864258,14.155482292175293,0.24343815768758456,0.48173022270202637,0.4431990683078766,True,,0.23656222224235535,2.7674560546875,3.0939126014709473,2.952943801879883,2.5067269802093506,0.048858843309183914,0.8088992834091187,0.653223991394043,True,,-0.1091046929359436,0.05737357586622238,2.577174186706543,0.8049509525299072,45.45661163330078,0.9668782452742258,0.3490017354488373,0.4814261198043823,True,,0.1881125271320343,2.817002773284912,3.085270643234253,2.91149640083313,5.575455665588379,0.11590234761436781,0.8237873911857605,0.6297317743301392,True,,-0.33395910263061523,0.6827546954154968,3.4781460762023926,0.7923834323883057,60.016754150390625,1.3143513699372609,0.35932621359825134,0.31518691778182983,True,,0.04920220747590065,2.8736586570739746,3.3400862216949463,3.0667827129364014,10.2885160446167,0.1877531588077545,0.8292659521102905,0.6512472629547119
4,data_wgs,1,1,True,True,1.0499999999999998,69.75745033520649,0.0002,0.00011257093992650635,1.0262765884399414,1.0359439849853516,1.17928946018219,0,1.0262765884399414,1.0499999999999998,0,0,0,0,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,64,True,,-0.8941316604614258,2.3681278228759766,4.48558235168457,5.0717644691467285,6.959135055541992,0.11198362608750662,0.2017463743686676,0.2638528347015381,True,,0.5531872510910034,3.8061132431030273,4.724796772003174,4.507554054260254,1.952176570892334,0.050111890335877735,0.9007806777954102,0.7936487793922424,True,,-0.9784277081489563,4.14858341217041,6.947778701782227,4.217120170593262,32.26608657836914,0.8172560671965281,0.4230429232120514,0.24091193079948425,True,,0.5609602928161621,3.800010919570923,4.608201503753662,4.416021347045898,2.972853422164917,0.07950744231541952,0.8912353515625,0.8140232563018799,True,,-0.7673617601394653,3.6799397468566895,6.826262474060059,3.44256591796875,49.02583312988281,1.2073272963364918,0.38518965244293213,0.26937708258628845,True,,0.5701313614845276,3.767601490020752,4.6533966064453125,4.400211811065674,6.783534049987793,0.1628036047021548,0.8919697999954224,0.7836692333221436
5,data_wgs,1,0,True,True,0.7,66.0100258940442,0.1635,0.0001947911545022247,0.6807298064231873,3.100730907590332e-07,0.6807296872138977,0,0.6807298064231873,0.7,0,0,0,0,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,64,True,,1.8105549812316895,-0.382855087518692,0.8913522362709045,1.110663652420044,2.3525664806365967,0.06101478170603514,-0.16411645710468292,0.2424468696117401,True,,0.09791756421327591,0.9512240290641785,1.1635677814483643,1.12060546875,1.9291841983795166,0.04950752450774113,0.38443103432655334,0.21539725363254547,True,,1.6241490840911865,0.35113781690597534,1.2847861051559448,1.4274475574493408,42.599857330322266,1.0310066084067027,-0.07616551220417023,0.10065874457359314,True,,0.0976964682340622,0.9414540529251099,1.0434297323226929,0.9476667642593384,2.7789621353149414,0.07307681093613307,0.3857821524143219,0.2106103152036667,True,,1.6842105388641357,0.3329784870147705,1.9949226379394531,0.9016487002372742,53.24209976196289,1.1771830439567565,-0.23192578554153442,0.3181038200855255,True,,0.11629649996757507,0.930423378944397,1.0434297323226929,0.9476667642593384,2.4337806701660156,0.06521017911533515,0.39524659514427185,0.20298701524734497
6,data_wgs,0,1,True,True,0.7,122.09825233207847,0.0001,0.0034716340107410325,1.3508493900299072,3.923422298157675e-07,1.3508496284484863,0,0.7,1.3508493900299072,0,0,0,0,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,64,True,,0.6626439094543457,2.469992160797119,5.385706424713135,5.2003936767578125,3.860898017883301,0.06762062658866247,0.13253185153007507,-0.7464823722839355,True,,1.5191012620925903,3.971648693084717,3.9860315322875977,4.017333984375,1.9147921800613403,0.05357231671611468,0.8952324986457825,-0.3350328207015991,True,,-0.2592748701572418,4.382967472076416,3.952070713043213,6.281454086303711,26.17884635925293,0.580890949567159,0.30187004804611206,-0.6133564710617065,True,,1.4734301567077637,4.006105899810791,3.9860315322875977,4.017333984375,5.5852813720703125,0.12227803145845731,0.8936113119125366,-0.29634785652160645,True,,-0.3816841244697571,4.43046760559082,3.952070713043213,6.281454086303711,45.648319244384766,1.044329971075058,0.23040440678596497,-0.46526023745536804,True,,1.5157477855682373,3.9525184631347656,3.9860315322875977,4.017333984375,5.878581523895264,0.1496569484472275,0.8967459201812744,-0.2967178523540497
7,data_wgs,1,0,True,True,0.7,84.49519075436089,0.00015,1.4360768383995477e-08,0.5754095911979675,3.182889543040801e-07,0.5754095911979675,0,0.5754095911979675,0.7,0,0,0,0,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,64,True,,0.6268578171730042,2.140927791595459,1.5180217027664185,0.6938593983650208,2.9382991790771484,0.0766485316058,0.2803474962711334,0.191744863986969,True,,0.4136112332344055,1.866713285446167,1.881838321685791,1.8963613510131836,2.0956320762634277,0.05237975362688303,0.8443756103515625,-0.5828671455383301,True,,0.6507275104522705,1.8332527875900269,1.3886783123016357,1.8830702304840088,56.418724060058594,1.0247128188610077,0.1990024447441101,-0.08785742521286011,True,,0.4349585175514221,1.8469209671020508,1.7963800430297852,1.794185757637024,2.4023547172546387,0.06156420235832532,0.8504585027694702,-0.6023417711257935,True,,0.5408319234848022,1.9755117893218994,1.0678294897079468,2.0840818881988525,85.29869079589844,1.3061761240164438,0.2501971125602722,-0.18508830666542053,True,,0.43637385964393616,1.8782055377960205,1.881838321685791,1.8963613510131836,2.337919235229492,0.061234034784138205,0.8477676510810852,-0.5969637036323547
8,data_wgs,1,0,True,True,0.7,101.59505382016427,0.09195,1.0874918477929048e-05,0.5835744738578796,3.488322022349166e-07,0.5835745334625244,0,0.5835744738578796,0.7,0,0,0,0,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,64,True,,-0.09770431369543076,0.6888908743858337,0.11803406476974487,0.5083459615707397,3.278883457183838,0.07330554959674676,-0.06997323036193848,0.4961349368095398,True,,0.02295655943453312,0.539074182510376,0.6075782179832458,0.640722930431366,1.7144670486450195,0.03260226957499981,0.5649327635765076,0.511802077293396,True,,1.2099323272705078,-0.026680486276745796,0.1827574372291565,0.5447825193405151,46.298789978027344,1.121978267033895,-0.16085666418075562,0.022077526897192,True,,-0.002265220507979393,0.5624383687973022,0.6463018655776978,0.6612593531608582,1.8514262437820435,0.04255276105056206,0.572847843170166,0.5259171724319458,True,,0.812819242477417,0.3599122166633606,0.5298343300819397,0.8803367614746094,47.040931701660156,1.098261288801829,0.010714493691921234,0.3659927248954773,True,,0.019117839634418488,0.5453008413314819,0.6075782179832458,0.640722930431366,1.2569937705993652,0.037148545309901235,0.5648949146270752,0.5052402019500732
9,data_wgs,1,1,True,True,1.75,73.12078887761584,0.0,0.0,1.3278262615203857,1.4273157119750977,1.6430994272232056,0,1.3278262615203857,1.75,0,0,0,0,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,64,True,,1.1378753185272217,4.3220109939575195,5.996427536010742,5.06029748916626,5.228831768035889,0.10341263587276141,0.4750661849975586,-0.08868290483951569,True,,1.6736112833023071,4.6193037033081055,5.218664169311523,4.868012428283691,1.6947828531265259,0.04954944184670846,0.7853772640228271,0.19101524353027344,True,,1.3841195106506348,3.993783473968506,5.635143280029297,5.993337631225586,25.513992309570312,0.622659170627594,0.4461049735546112,0.11205878853797913,True,,1.6875277757644653,4.633781433105469,5.052513599395752,5.102254867553711,3.704239845275879,0.0991669254998366,0.781528651714325,0.18935611844062805,True,,0.7810350656509399,4.537988662719727,6.031333923339844,6.3727126121521,28.936540603637695,0.7307204266389211,0.5392154455184937,0.08971932530403137,True,,1.690043568611145,4.632244110107422,5.052513599395752,5.102254867553711,4.8851165771484375,0.11681688999136289,0.7874995470046997,0.18364332616329193
