feature1,feature2,class
-3.313153266906738281e+00,4.585172176361083984e+00,5.000000000000000000e+00
-6.116499900817871094e+00,2.970561504364013672e+00,0.000000000000000000e+00
-2.848294734954833984e+00,-8.827991550788283348e-04,8.000000000000000000e+00
-6.131697654724121094e+00,3.371272325515747070e+00,3.000000000000000000e+00
-2.366531372070312500e+00,-2.866239309310913086e+00,7.000000000000000000e+00
-2.543713569641113281e+00,-2.388295650482177734e+00,2.000000000000000000e+00
-7.173471927642822266e+00,4.423748493194580078e+00,3.000000000000000000e+00
-3.205509901046752930e+00,-7.098597884178161621e-01,8.000000000000000000e+00
-2.148989200592041016e+00,4.607978820800781250e+00,3.000000000000000000e+00
-2.598282337188720703e+00,-2.788744449615478516e+00,7.000000000000000000e+00
-3.044121503829956055e+00,-2.787594318389892578e+00,7.000000000000000000e+00
-7.303007602691650391e+00,-3.915550231933593750e+00,7.000000000000000000e+00
-2.866910457611083984e+00,-2.794992208480834961e+00,2.000000000000000000e+00
-3.127357006072998047e+00,1.870541572570800781e+00,8.000000000000000000e+00
-4.685075759887695312e+00,-4.294607639312744141e+00,7.000000000000000000e+00
-3.011015415191650391e+00,-2.938369512557983398e+00,2.000000000000000000e+00
-6.425024032592773438e+00,3.070360898971557617e+00,5.000000000000000000e+00
3.699780404567718506e-01,6.087846279144287109e+00,0.000000000000000000e+00
8.501968979835510254e-01,2.752301216125488281e+00,4.000000000000000000e+00
4.180915281176567078e-02,4.743691921234130859e+00,4.000000000000000000e+00
2.659860372543334961e+00,-3.595848321914672852e+00,6.000000000000000000e+00
-5.084226131439208984e+00,-5.600131034851074219e+00,2.000000000000000000e+00
1.343975543975830078e+00,2.558967769145965576e-01,1.000000000000000000e+00
-4.524911880493164062e+00,4.391513824462890625e+00,3.000000000000000000e+00
2.640245199203491211e+00,-2.604469060897827148e+00,6.000000000000000000e+00
-3.517808198928833008e+00,4.493041038513183594e+00,5.000000000000000000e+00
7.589343786239624023e-01,1.372589945793151855e+00,4.000000000000000000e+00
-3.269222974777221680e-01,-4.473836421966552734e+00,2.000000000000000000e+00
-3.565988540649414062e+00,7.005996227264404297e+00,5.000000000000000000e+00
2.836887836456298828e+00,4.362699985504150391e+00,4.000000000000000000e+00
-9.401695728302001953e-01,4.251738071441650391e+00,3.000000000000000000e+00
6.983444094657897949e-01,1.910488247871398926e+00,1.000000000000000000e+00
-4.137712001800537109e+00,-2.478374958038330078e+00,7.000000000000000000e+00
-4.760456085205078125e+00,5.519777297973632812e+00,5.000000000000000000e+00
-3.890038967132568359e+00,6.866375207901000977e-01,8.000000000000000000e+00
6.420564055442810059e-01,8.158558607101440430e-01,4.000000000000000000e+00
7.877845168113708496e-01,-4.145323276519775391e+00,9.000000000000000000e+00
1.844556808471679688e+00,2.215096712112426758e+00,4.000000000000000000e+00
