idx,y,crawler_success,gs_success,gs_radius_found,angle_x_crawler_gs_deg,sphere_frac,sphere_vol,dist_x_to_crawler,dist_x_to_gs,dist_crawler_to_gs,ring_n,ring_r_min,ring_r_max,ring_count_y0,ring_count_y1,ring_count_pred0,ring_count_pred1
0,1.0,True,True,1.7700000000000014,81.76839310323255,0.13555,3.8407605420794377,3.00319766998291,1.760916829109192,3.256639003753662,84,1.7700000000000014,3.00319766998291,2,71,1,72
1,2.0,True,True,2.869999999999983,5.504915820524587,5e-05,0.0012949112782386766,2.8711776733398438,2.8694043159484863,0.2756706476211548,0,2.869999999999983,2.8711776733398438,0,0,0,0
2,1.0,True,True,3.1999999999999758,3.8779780663263073,0.0,0.0,3.192302703857422,3.199605703353882,0.21639017760753632,0,3.192302703857422,3.1999999999999758,0,0,0,0
3,2.0,True,True,0.7400000000000005,1.3700222353809621,0.0,0.0,0.7321582436561584,0.7324342727661133,0.017513198778033257,0,0.7321582436561584,0.7400000000000005,0,0,0,0
4,0.0,True,True,1.7500000000000013,2.0483218721590344,0.0,0.0,1.744309425354004,1.7458045482635498,0.06239776313304901,0,1.744309425354004,1.7500000000000013,0,0,0,0
5,0.0,True,True,2.2299999999999964,1.609246319694848,0.0,0.0,2.231645345687866,2.2266170978546143,0.06280913203954697,0,2.2299999999999964,2.231645345687866,0,0,0,0
6,1.0,True,True,0.1,116.77675752286987,0.0,0.0,1.5481594800949097,2.384185791015625e-07,1.5481595993041992,64,0.1,1.5481594800949097,56,8,64,0
7,0.0,True,True,1.9200000000000015,2.8040733814520307,0.0,0.0,1.9155373573303223,1.917823076248169,0.09382013976573944,0,1.9155373573303223,1.9200000000000015,0,0,0,0
8,1.0,True,False,inf,,0.0,0.0,5.162947177886963,0.0,5.162947177886963,0,,,0,0,0,0
9,1.0,True,True,3.7399999999999642,0.38512180183095585,0.0009,0.039236787848657105,3.725208044052124,3.737542152404785,0.02789521962404251,0,3.725208044052124,3.7399999999999642,0,0,0,0
10,0.0,True,True,3.1099999999999777,3.5974970668211763,0.0002,0.006150631355984032,3.1287431716918945,3.1078805923461914,0.1968645304441452,0,3.1099999999999777,3.1287431716918945,0,0,0,0
11,0.0,True,True,1.2400000000000009,36.430335495971896,0.03365,0.22150707528527633,1.4475258588790894,1.2321685552597046,0.8622533679008484,3,1.2400000000000009,1.4475258588790894,3,0,3,0
12,2.0,True,True,4.949999999999939,3.5676017238158226,0.0,0.0,4.946533203125,4.949394702911377,0.3080581724643707,0,4.946533203125,4.949999999999939,0,0,0,0
13,2.0,True,True,2.010000000000001,1.2083656064222525,0.0002,0.002535854357328699,2.0089643001556396,2.0064029693603516,0.042427048087120056,0,2.0089643001556396,2.010000000000001,0,0,0,0
14,0.0,True,True,1.6700000000000013,1.5880689331989022,0.0,0.0,1.6651731729507446,1.6658151149749756,0.046163447201251984,0,1.6651731729507446,1.6700000000000013,0,0,0,0
15,0.0,True,True,2.0400000000000005,6.145864545970635,0.0001,0.0013187078630077353,2.0487990379333496,2.0389842987060547,0.21935294568538666,1,2.0400000000000005,2.0487990379333496,1,0,1,0
16,1.0,True,True,4.4999999999999485,2.5537430431890145,0.0,0.0,4.489161968231201,4.493406772613525,0.20021682977676392,0,4.489161968231201,4.4999999999999485,0,0,0,0
17,2.0,True,True,3.3099999999999734,11.321468450001404,0.0006,0.021029205498703976,3.3401107788085938,3.3089334964752197,0.6565808057785034,0,3.3099999999999734,3.3401107788085938,0,0,0,0
18,0.0,True,True,2.5499999999999896,26.2847227894372,0.00835,0.18777253392276544,2.6754562854766846,2.54361891746521,1.1935935020446777,7,2.5499999999999896,2.6754562854766846,6,1,7,0
19,1.0,True,True,0.6000000000000004,2.143201736173736,0.0,0.0,0.5974786877632141,0.5979009866714478,0.022358890622854233,0,0.5974786877632141,0.6000000000000004,0,0,0,0
20,0.0,True,True,3.789999999999963,82.2133533212152,0.16575,21.86016912697288,6.479254722595215,3.783930540084839,7.046665668487549,134,3.789999999999963,6.479254722595215,113,13,124,3
21,2.0,True,True,3.6799999999999655,17.442889818525153,0.0031,0.13961004136574795,3.78619122505188,3.671250581741333,1.1364704370498657,2,3.6799999999999655,3.78619122505188,0,0,0,0
22,1.0,True,True,0.6500000000000005,1.5075305530831,0.0,0.0,0.6494243144989014,0.6499686241149902,0.017101380974054337,0,0.6494243144989014,0.6500000000000005,0,0,0,0
23,0.0,True,True,2.5199999999999902,55.441989193563465,0.09295,3.50729819864058,3.4656660556793213,2.5158376693725586,2.9066617488861084,54,2.5199999999999902,3.4656660556793213,50,4,53,1
24,2.0,True,True,0.5400000000000004,5.9693958542906405,0.0,0.0,0.5346928834915161,0.5382916331291199,0.055985402315855026,0,0.5346928834915161,0.5400000000000004,0,0,0,0
25,0.0,True,True,2.3199999999999945,55.51295605230657,0.1011,3.4921165059596344,3.3158421516418457,2.3160016536712646,2.7680511474609375,61,2.3199999999999945,3.3158421516418457,60,1,61,0
26,1.0,True,True,2.2799999999999954,3.731663562173367,0.0006,0.010287921285963023,2.3362174034118652,2.2741098403930664,0.1624346226453781,6,2.2799999999999954,2.3362174034118652,0,6,0,6
27,1.0,True,True,3.189999999999976,84.4620896632564,0.1554,15.097012561599326,5.56089973449707,3.187065601348877,6.1367998123168945,137,3.189999999999976,5.56089973449707,6,100,1,105
28,1.0,True,True,0.9100000000000007,1.205771752606473,0.0,0.0,0.9026050567626953,0.9028091430664062,0.01899651437997818,0,0.9026050567626953,0.9100000000000007,0,0,0,0
29,1.0,True,True,1.1400000000000008,0.31836705715359415,0.0,0.0,1.132670283317566,1.1326886415481567,0.0062964437529444695,0,1.132670283317566,1.1400000000000008,0,0,0,0
30,1.0,True,True,0.2300000000000001,10.7853256395441,0.0,0.0,0.2233700454235077,0.22721822559833527,0.04251953586935997,0,0.2233700454235077,0.2300000000000001,0,0,0,0
31,1.0,True,True,3.369999999999972,99.70961633188185,0.1209,10.15818209183008,5.171540260314941,3.3669936656951904,6.629848480224609,93,3.369999999999972,5.171540260314941,10,60,7,63
32,0.0,True,True,1.9400000000000015,52.54206588126862,0.08785,1.9354813447868626,2.6481871604919434,1.9360209703445435,2.1271748542785645,48,1.9400000000000015,2.6481871604919434,47,1,48,0
33,0.0,True,True,0.1,45.319315342477324,0.0,0.0,0.5607483983039856,2.384185791015625e-07,0.560748279094696,5,0.1,0.5607483983039856,0,5,0,5
34,0.0,True,True,3.279999999999974,4.222852109518983,0.0,0.0,3.230642080307007,3.2783615589141846,0.24450363218784332,2,3.230642080307007,3.279999999999974,2,0,2,0
35,2.0,True,True,3.4899999999999696,8.411718473851378,0.0013,0.05100390660992091,3.533906936645508,3.4816412925720215,0.5171552300453186,2,3.4899999999999696,3.533906936645508,0,0,0,0
