feature1,feature2,class
-2.272661321898334474e+00,1.161423304625022412e+00,0.000000000000000000e+00
-2.514897683375433068e+00,-1.034636574895999139e+00,0.000000000000000000e+00
-3.390793141304739411e+00,1.831408402326870188e+00,0.000000000000000000e+00
-5.341611440929117549e+00,-1.689580405423089404e+00,0.000000000000000000e+00
3.263032344259453765e+00,2.099590288320778875e+00,1.000000000000000000e+00
3.810749502866503047e+00,4.382350880158735862e+00,1.000000000000000000e+00
-3.113817360991219640e+00,7.868638898970885531e-01,0.000000000000000000e+00
3.588545152415368644e+00,2.091826428225639578e+00,1.000000000000000000e+00
8.717241236934811788e-01,2.509019612928940379e+00,1.000000000000000000e+00
-3.569768973736177298e+00,-3.139846972664025460e-01,0.000000000000000000e+00
5.139566667815814505e+00,3.235662384624249377e-01,1.000000000000000000e+00
2.723871260120464211e+00,3.113364052566665485e+00,1.000000000000000000e+00
3.884537713563168904e+00,2.399284112609977093e+00,1.000000000000000000e+00
-3.062357319464634742e+00,2.359735947106806897e+00,0.000000000000000000e+00
3.898330117496785263e+00,3.381083633924152121e+00,1.000000000000000000e+00
-2.438520532728584822e+00,-4.250612674873394115e-01,0.000000000000000000e+00
-4.600019276803712032e+00,1.800007984055939758e+00,0.000000000000000000e+00
-2.884621320386097754e+00,7.322841591604032363e-01,0.000000000000000000e+00
3.652356567936331011e+00,1.533518299629984538e+00,1.000000000000000000e+00
4.688555844849395804e+00,1.744720215390471729e-01,1.000000000000000000e+00
-3.765199169489163111e+00,-7.142713554557112987e-01,0.000000000000000000e+00
3.216866801426156997e+00,1.709588474206456876e+00,1.000000000000000000e+00
-1.716396703536538615e+00,6.091927467000463059e-01,0.000000000000000000e+00
-4.702044634014990621e+00,9.106874222729166579e-01,0.000000000000000000e+00
4.482021181207566762e+00,7.693713591016242415e-01,1.000000000000000000e+00
-2.863899708185364545e-01,1.911513518584593285e-01,0.000000000000000000e+00
4.414874435317381440e+00,2.904682746673830973e+00,1.000000000000000000e+00
-4.090339564098536052e+00,-8.452878030309340929e-02,0.000000000000000000e+00
-4.196200742637612890e+00,8.381946481902982082e-01,0.000000000000000000e+00
-2.406844142655064633e+00,-1.603759670892745515e+00,0.000000000000000000e+00
-2.944131983823848664e+00,-1.196468674748133010e+00,0.000000000000000000e+00
