feature1,feature2,class
-1.321555674076080322e-01,1.308233380317687988e+00,1.000000000000000000e+00
2.076691389083862305e+00,-1.203358411788940430e+00,1.000000000000000000e+00
2.484593391418457031e+00,1.624565720558166504e+00,0.000000000000000000e+00
5.364372730255126953e-01,8.065869212150573730e-01,1.000000000000000000e+00
2.751461863517761230e-01,2.838353872299194336e+00,0.000000000000000000e+00
1.204681396484375000e+00,2.780449867248535156e+00,0.000000000000000000e+00
4.127373695373535156e+00,-1.353987216949462891e+00,1.000000000000000000e+00
2.194414138793945312e-01,2.750647068023681641e+00,0.000000000000000000e+00
1.375813961029052734e+00,-1.042986273765563965e+00,1.000000000000000000e+00
-1.253409624099731445e+00,2.990790605545043945e+00,0.000000000000000000e+00
2.873963356018066406e+00,3.634285926818847656e-01,0.000000000000000000e+00
5.557491302490234375e+00,4.797569215297698975e-01,1.000000000000000000e+00
1.665755033493041992e+00,2.897057294845581055e+00,0.000000000000000000e+00
9.068182110786437988e-01,2.790387868881225586e+00,0.000000000000000000e+00
-1.574389576911926270e+00,2.369137763977050781e+00,0.000000000000000000e+00
2.574083805084228516e+00,2.026538610458374023e+00,0.000000000000000000e+00
1.856809616088867188e+00,-1.956983685493469238e+00,1.000000000000000000e+00
5.678388118743896484e+00,4.762435853481292725e-01,1.000000000000000000e+00
3.526901602745056152e-01,3.165076971054077148e-01,1.000000000000000000e+00
6.507088184356689453e+00,9.664977192878723145e-01,1.000000000000000000e+00
1.213678836822509766e+00,2.857179880142211914e+00,0.000000000000000000e+00
3.268009185791015625e+00,8.632094860076904297e-01,0.000000000000000000e+00
6.200837612152099609e+00,1.664807915687561035e+00,1.000000000000000000e+00
1.763396978378295898e+00,-1.282725811004638672e+00,1.000000000000000000e+00
3.133886814117431641e+00,3.408727049827575684e-01,0.000000000000000000e+00
6.147064208984375000e+00,1.676162600517272949e+00,1.000000000000000000e+00
-8.814407587051391602e-01,2.661317586898803711e+00,0.000000000000000000e+00
6.712102890014648438e-02,-3.373219445347785950e-02,1.000000000000000000e+00
1.359002947807312012e+00,-1.118471980094909668e+00,1.000000000000000000e+00
1.561195105314254761e-01,2.605065584182739258e+00,0.000000000000000000e+00
6.460497379302978516e+00,1.016322970390319824e+00,1.000000000000000000e+00
-3.358021020889282227e+00,3.634402528405189514e-02,0.000000000000000000e+00
1.872206449508666992e+00,-9.747521877288818359e-01,1.000000000000000000e+00
2.024005651473999023e+00,2.294539451599121094e+00,0.000000000000000000e+00
3.477153480052947998e-01,-1.036608219146728516e-01,1.000000000000000000e+00
-7.574210166931152344e-01,3.047176361083984375e+00,0.000000000000000000e+00
-1.310485005378723145e-01,2.369784593582153320e+00,0.000000000000000000e+00
5.348421096801757812e+00,-6.913187503814697266e-01,1.000000000000000000e+00
-2.503540754318237305e+00,1.644698262214660645e+00,0.000000000000000000e+00
-1.514746785163879395e+00,2.447551727294921875e+00,0.000000000000000000e+00
5.419469356536865234e+00,7.678551673889160156e-01,1.000000000000000000e+00
2.281733512878417969e+00,2.547014236450195312e+00,0.000000000000000000e+00
8.995632529258728027e-01,2.393302202224731445e+00,0.000000000000000000e+00
2.671575784683227539e+00,2.129713058471679688e+00,0.000000000000000000e+00
3.548093736171722412e-01,2.633417606353759766e+00,0.000000000000000000e+00
6.010220050811767578e+00,6.671410202980041504e-01,1.000000000000000000e+00
-2.139110088348388672e+00,2.770182132720947266e+00,0.000000000000000000e+00
-3.135666847229003906e+00,8.367815017700195312e-01,0.000000000000000000e+00
2.881445646286010742e+00,7.796928882598876953e-01,0.000000000000000000e+00
-3.183008670806884766e+00,1.277886986732482910e+00,0.000000000000000000e+00
2.787214756011962891e+00,2.113468408584594727e+00,0.000000000000000000e+00
4.025837898254394531e+00,-1.304026365280151367e+00,1.000000000000000000e+00
4.635652065277099609e+00,-6.076819300651550293e-01,1.000000000000000000e+00
1.195548534393310547e+00,2.273468494415283203e+00,0.000000000000000000e+00
5.294871330261230469e+00,3.701851963996887207e-01,1.000000000000000000e+00
2.767334938049316406e+00,1.803809046745300293e+00,0.000000000000000000e+00
1.003870889544487000e-01,5.720147490501403809e-01,1.000000000000000000e+00
-2.675708770751953125e+00,1.488224625587463379e+00,0.000000000000000000e+00
3.067738056182861328e+00,1.081980466842651367e+00,0.000000000000000000e+00
-2.913266420364379883e+00,1.921794533729553223e+00,0.000000000000000000e+00
-1.437424421310424805e+00,3.027973890304565430e+00,0.000000000000000000e+00
2.522543191909790039e+00,-2.051432132720947266e+00,1.000000000000000000e+00
8.893173933029174805e-01,-1.237247228622436523e+00,1.000000000000000000e+00
1.475863218307495117e+00,2.970338106155395508e+00,0.000000000000000000e+00
1.232330352067947388e-01,3.159966945648193359e+00,0.000000000000000000e+00
2.899905204772949219e+00,1.750275492668151855e+00,0.000000000000000000e+00
5.049463748931884766e+00,-9.532440304756164551e-01,1.000000000000000000e+00
1.314790487289428711e+00,-1.150214552879333496e+00,1.000000000000000000e+00
5.221356391906738281e+00,1.606260180473327637e+00,1.000000000000000000e+00
6.497433781623840332e-01,2.921006202697753906e+00,0.000000000000000000e+00
3.903613328933715820e+00,-1.258707880973815918e+00,1.000000000000000000e+00
-1.931644439697265625e+00,2.472578525543212891e+00,0.000000000000000000e+00
2.849095582962036133e+00,6.970329582691192627e-02,0.000000000000000000e+00
2.005111932754516602e+00,2.414183855056762695e+00,0.000000000000000000e+00
6.064951896667480469e+00,1.044495940208435059e+00,1.000000000000000000e+00
4.942167103290557861e-01,-5.625479221343994141e-01,1.000000000000000000e+00
-2.774128876626491547e-02,1.122834384441375732e-01,1.000000000000000000e+00
5.307050228118896484e+00,6.084457635879516602e-01,1.000000000000000000e+00
-3.031474113464355469e+00,8.029940128326416016e-01,0.000000000000000000e+00
2.107303857803344727e+00,-1.690240144729614258e+00,1.000000000000000000e+00
2.848168134689331055e+00,1.271851062774658203e-01,0.000000000000000000e+00
2.686092376708984375e+00,3.608823716640472412e-01,0.000000000000000000e+00
-4.528772234916687012e-01,1.609192252159118652e+00,1.000000000000000000e+00
8.502318263053894043e-01,-4.350081086158752441e-01,1.000000000000000000e+00
2.058741331100463867e+00,-1.214852333068847656e+00,1.000000000000000000e+00
1.265059828758239746e+00,2.572457075119018555e+00,0.000000000000000000e+00
1.240769743919372559e+00,-6.961408257484436035e-01,1.000000000000000000e+00
3.173218965530395508e+00,-1.503292322158813477e+00,1.000000000000000000e+00
1.035449840128421783e-02,2.769694805145263672e+00,0.000000000000000000e+00
7.943013906478881836e-01,2.853821039199829102e+00,0.000000000000000000e+00
1.897422820329666138e-01,3.979913517832756042e-02,1.000000000000000000e+00
4.697401046752929688e+00,-4.676132202148437500e-01,1.000000000000000000e+00
-7.679086327552795410e-01,2.930943727493286133e+00,0.000000000000000000e+00
6.271404027938842773e-01,7.487620711326599121e-01,1.000000000000000000e+00
-3.059335470199584961e+00,1.293211460113525391e+00,0.000000000000000000e+00
3.458862781524658203e+00,-1.616517066955566406e+00,1.000000000000000000e+00
5.496256828308105469e+00,2.203481830656528473e-02,1.000000000000000000e+00
5.966004848480224609e+00,5.362089872360229492e-01,1.000000000000000000e+00
-4.925779402256011963e-01,-3.130423724651336670e-01,1.000000000000000000e+00
9.762482643127441406e-01,3.046234130859375000e+00,0.000000000000000000e+00
6.196348667144775391e-01,2.345217913389205933e-01,1.000000000000000000e+00
-7.597499340772628784e-02,2.841905355453491211e+00,0.000000000000000000e+00
3.249691724777221680e+00,9.073023796081542969e-01,0.000000000000000000e+00
1.583690762519836426e+00,2.830942392349243164e+00,0.000000000000000000e+00
-2.226893424987792969e+00,2.064198732376098633e+00,0.000000000000000000e+00
3.228706359863281250e+00,9.465863108634948730e-01,0.000000000000000000e+00
2.941411256790161133e+00,7.502813339233398438e-01,0.000000000000000000e+00
-2.282856225967407227e+00,3.077855348587036133e+00,0.000000000000000000e+00
5.225911617279052734e+00,-2.598458826541900635e-01,1.000000000000000000e+00
5.684703826904296875e+00,-5.613953471183776855e-01,1.000000000000000000e+00
-1.489530444145202637e+00,3.062541484832763672e+00,0.000000000000000000e+00
6.084548950195312500e+00,1.110896706581115723e+00,1.000000000000000000e+00
2.188675880432128906e+00,-1.117221593856811523e+00,1.000000000000000000e+00
6.049718856811523438e+00,4.771471321582794189e-01,1.000000000000000000e+00
3.027157306671142578e+00,-2.116421461105346680e+00,1.000000000000000000e+00
2.454433917999267578e+00,2.104818582534790039e+00,0.000000000000000000e+00
1.437572479248046875e+00,2.600373983383178711e+00,0.000000000000000000e+00
2.487319469451904297e+00,-1.695381402969360352e+00,1.000000000000000000e+00
3.559291124343872070e+00,-1.559294104576110840e+00,1.000000000000000000e+00
2.276563882827758789e+00,-1.368441104888916016e+00,1.000000000000000000e+00
-2.774055719375610352e+00,1.997801780700683594e+00,0.000000000000000000e+00
-5.992130637168884277e-01,3.279917955398559570e+00,0.000000000000000000e+00
2.821849346160888672e+00,7.724722623825073242e-01,0.000000000000000000e+00
5.549525737762451172e+00,1.917423866689205170e-02,1.000000000000000000e+00
3.023042440414428711e+00,1.023513793945312500e+00,0.000000000000000000e+00
-2.899630784988403320e+00,8.640527725219726562e-01,0.000000000000000000e+00
4.991537570953369141e+00,-6.439953446388244629e-01,1.000000000000000000e+00
5.061849594116210938e+00,-1.172885417938232422e+00,1.000000000000000000e+00
-2.993077039718627930e+00,1.464396357536315918e+00,0.000000000000000000e+00
7.791556119918823242e-01,-4.457442164421081543e-01,1.000000000000000000e+00
3.781568288803100586e+00,-1.429993748664855957e+00,1.000000000000000000e+00
-1.743707418441772461e+00,2.024666070938110352e+00,0.000000000000000000e+00
