feature1,feature2,class
1.888552784919738770e+00,-2.853178024291992188e+00,1.000000000000000000e+00
-1.523434072732925415e-01,-3.032864630222320557e-01,1.000000000000000000e+00
3.878852725028991699e-01,4.140501022338867188e+00,1.000000000000000000e+00
-4.924540042877197266e+00,5.951228085905313492e-03,1.000000000000000000e+00
3.582491874694824219e+00,2.479033768177032471e-01,1.000000000000000000e+00
-8.212242722511291504e-01,4.416900634765625000e+00,1.000000000000000000e+00
-1.675069451332092285e+00,1.200687885284423828e+00,1.000000000000000000e+00
2.011611700057983398e+00,-4.020635128021240234e+00,0.000000000000000000e+00
-1.389759421348571777e+00,-9.924324154853820801e-01,0.000000000000000000e+00
-2.501795291900634766e+00,2.507856369018554688e+00,0.000000000000000000e+00
6.350577473640441895e-01,-9.115923047065734863e-01,1.000000000000000000e+00
-1.118129134178161621e+00,2.988065242767333984e+00,0.000000000000000000e+00
3.447694778442382812e+00,-1.629579544067382812e+00,1.000000000000000000e+00
8.655729293823242188e-01,-1.652389764785766602e+00,0.000000000000000000e+00
2.292376041412353516e+00,1.244591712951660156e+00,0.000000000000000000e+00
2.721317768096923828e+00,3.729584217071533203e-01,0.000000000000000000e+00
-2.651067972183227539e+00,-8.230360746383666992e-01,1.000000000000000000e+00
3.812548875808715820e+00,-2.740297079086303711e+00,0.000000000000000000e+00
-8.399096727371215820e-01,1.251326441764831543e+00,0.000000000000000000e+00
-3.811078548431396484e+00,-1.305715680122375488e+00,0.000000000000000000e+00
1.981485128402709961e+00,-1.020564675331115723e+00,0.000000000000000000e+00
-2.777757644653320312e+00,3.789736032485961914e+00,1.000000000000000000e+00
-2.118905544281005859e+00,6.930849552154541016e-01,1.000000000000000000e+00
-3.968168020248413086e+00,2.964192867279052734e+00,1.000000000000000000e+00
-3.392402887344360352e+00,1.085419535636901855e+00,0.000000000000000000e+00
5.908054709434509277e-01,3.132202386856079102e+00,0.000000000000000000e+00
3.641763448715209961e+00,-1.029562354087829590e+00,1.000000000000000000e+00
