idx,dataset,y,pred_target,crawler_success,gs_success,gs_radius_found,angle_x_crawler_gs_deg,sphere_frac,sphere_vol,dist_x_to_crawler,dist_x_to_gs,dist_crawler_to_gs,ring_n,ring_r_min,ring_r_max,ring_count_y0,ring_count_y1,ring_count_pred0,ring_count_pred1,attr_methods,attr_baselines,attr_ig_steps,attr_topk,attr_sg_samples,attr_sg_stdevs,attr_sg_nt_type,attr_perturb_samples,attr_ig_zero_success,attr_ig_zero_sensitivity,attr_ig_zero_fidelity_del_auc,attr_ig_zero_fidelity_ins_auc,attr_ig_zero_fidelity_del_delta_topk,attr_ig_zero_fidelity_ins_delta_topk,attr_ig_zero_stability_lipschitz,attr_ig_zero_stability_mean_attr_change,attr_ig_zero_cosine_truegrad,attr_ig_zero_boundary_alignment,attr_ig_boundary_success,attr_ig_boundary_sensitivity,attr_ig_boundary_fidelity_del_auc,attr_ig_boundary_fidelity_ins_auc,attr_ig_boundary_fidelity_del_delta_topk,attr_ig_boundary_fidelity_ins_delta_topk,attr_ig_boundary_stability_lipschitz,attr_ig_boundary_stability_mean_attr_change,attr_ig_boundary_cosine_truegrad,attr_ig_boundary_boundary_alignment,attr_lime_zero_success,attr_lime_zero_sensitivity,attr_lime_zero_fidelity_del_auc,attr_lime_zero_fidelity_ins_auc,attr_lime_zero_fidelity_del_delta_topk,attr_lime_zero_fidelity_ins_delta_topk,attr_lime_zero_stability_lipschitz,attr_lime_zero_stability_mean_attr_change,attr_lime_zero_cosine_truegrad,attr_lime_zero_boundary_alignment,attr_lime_boundary_success,attr_lime_boundary_sensitivity,attr_lime_boundary_fidelity_del_auc,attr_lime_boundary_fidelity_ins_auc,attr_lime_boundary_fidelity_del_delta_topk,attr_lime_boundary_fidelity_ins_delta_topk,attr_lime_boundary_stability_lipschitz,attr_lime_boundary_stability_mean_attr_change,attr_lime_boundary_cosine_truegrad,attr_lime_boundary_boundary_alignment,attr_ks_zero_success,attr_ks_zero_sensitivity,attr_ks_zero_fidelity_del_auc,attr_ks_zero_fidelity_ins_auc,attr_ks_zero_fidelity_del_delta_topk,attr_ks_zero_fidelity_ins_delta_topk,attr_ks_zero_stability_lipschitz,attr_ks_zero_stability_mean_attr_change,attr_ks_zero_cosine_truegrad,attr_ks_zero_boundary_alignment,attr_ks_boundary_success,attr_ks_boundary_sensitivity,attr_ks_boundary_fidelity_del_auc,attr_ks_boundary_fidelity_ins_auc,attr_ks_boundary_fidelity_del_delta_topk,attr_ks_boundary_fidelity_ins_delta_topk,attr_ks_boundary_stability_lipschitz,attr_ks_boundary_stability_mean_attr_change,attr_ks_boundary_cosine_truegrad,attr_ks_boundary_boundary_alignment
0,data_wgs,1,1,True,True,0.7,14.424666026403322,0.0,0.0,0.5755508542060852,0.5860245227813721,0.14620161056518555,2,0.5755508542060852,0.7,0,2,0,2,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,True,,2.387526035308838,1.0734728574752808,2.993199348449707,2.993199348449707,52.473777770996094,0.11392168112409612,0.9778052568435669,0.16062062978744507,True,,1.6082854270935059,2.611156940460205,3.380302667617798,3.380302667617798,4.837100028991699,0.02777178802837928,0.9505746960639954,-0.6917396783828735,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,
1,data_wgs,1,1,True,True,0.7,61.54213170176604,0.00745,0.0038246451328954427,0.40424299240112305,0.5018503665924072,0.47109076380729675,3,0.40424299240112305,0.7,1,2,1,2,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,True,,0.6497405171394348,1.1658337116241455,0.5910079479217529,0.5910079479217529,2.673759937286377,0.02420447124168277,0.7238942384719849,0.7445883750915527,True,,0.3792480230331421,0.8708194494247437,1.1565146446228027,1.1565146446228027,2.673757314682007,0.024204472141961256,0.9150640368461609,0.9737817049026489,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,
2,data_wgs,1,1,True,True,0.7,78.20230868269475,0.0462,0.040316355898708245,0.5270413756370544,0.6739897131919861,0.766015887260437,3,0.5270413756370544,0.7,0,3,0,3,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,True,,1.6012310981750488,2.4813785552978516,2.832496404647827,2.832496404647827,35.51998519897461,0.11085518617959073,0.9906168580055237,-0.9995485544204712,True,,1.3270585536956787,2.413045883178711,3.11660099029541,3.11660099029541,7.2954325675964355,0.05398405653735002,0.9961247444152832,-0.8038730621337891,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,
3,data_wgs,1,1,True,True,0.7,89.80560094122927,0.05715,0.01284541126538306,0.2674797773361206,0.3282000720500946,0.4226878583431244,4,0.2674797773361206,0.7,0,4,0,4,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,True,,1.2220274209976196,2.446913242340088,2.4708290100097656,2.4708290100097656,93.64117431640625,0.15938573798630387,0.9635187983512878,0.9999997615814209,True,,1.2398656606674194,1.8776912689208984,2.688485622406006,2.688485622406006,6.287447452545166,0.043537573392192525,0.4888046383857727,-0.5185129642486572,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,
4,data_wgs,1,1,True,True,0.7,14.191262370182775,0.02985,0.025556845082818268,0.5220432877540588,0.44096940755844116,0.14360861480236053,5,0.5220432877540588,0.7,0,5,0,5,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,True,,0.8066267967224121,2.3531365394592285,2.1041579246520996,2.1041579246520996,46.479095458984375,0.19154486357001588,0.9928459525108337,-0.9972290396690369,True,,0.5961846113204956,2.148466110229492,2.6238820552825928,2.6238820552825928,6.215332984924316,0.050095706984090306,0.970679759979248,-0.8696168661117554,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,
5,data_wgs,1,1,True,True,0.7,31.289937960649976,0.0,0.0,0.5535959601402283,0.6638963222503662,0.3450806140899658,3,0.5535959601402283,0.7,0,3,0,3,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,True,,0.9330927133560181,3.721890926361084,3.8240532875061035,3.8240532875061035,57.389774322509766,0.07670358444253604,0.9710434675216675,-0.999896764755249,True,,1.4161750078201294,3.4140005111694336,4.042497158050537,4.042497158050537,7.283679485321045,0.0590867150730143,0.997826099395752,-0.9971851706504822,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,
6,data_wgs,1,1,True,True,0.7,4.9576361179435,0.0065,0.0036505118890986887,0.42281001806259155,0.41274702548980713,0.03751005977392197,4,0.42281001806259155,0.7,0,4,0,4,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,True,,0.9901083111763,0.37096893787384033,2.088310480117798,2.088310480117798,9.851105690002441,0.031716685936165355,0.948541522026062,0.6380014419555664,True,,1.1079972982406616,1.9203181266784668,2.4011852741241455,2.4011852741241455,4.912775039672852,0.050402170574913426,0.9280171394348145,0.8858200311660767,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,
7,data_wgs,0,0,True,True,0.7,34.15118047684772,0.0054,0.004656881932276077,0.5239330530166626,0.5406123995780945,0.312992125749588,2,0.5239330530166626,0.7,2,0,2,0,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,True,,1.328263282775879,2.406615734100342,4.962344169616699,4.962344169616699,31.42633056640625,0.11830668187467382,0.8935446739196777,0.8622832298278809,True,,1.8909244537353516,2.7470321655273438,4.12330961227417,4.12330961227417,7.601681709289551,0.08154523549601436,0.9955801367759705,0.41454383730888367,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,
8,data_wgs,0,0,True,True,0.7,79.1982385083406,0.01065,0.0053728195451225235,0.40072956681251526,0.6369349956512451,0.6860036849975586,2,0.40072956681251526,0.7,2,0,2,0,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,True,,0.39925867319107056,1.4256591796875,3.0219192504882812,3.0219192504882812,9.538496017456055,0.05184394533280283,0.9996783137321472,0.9333643317222595,True,,0.664283275604248,1.833834171295166,2.3482275009155273,2.3482275009155273,5.000278949737549,0.04473348438429336,0.9621814489364624,-0.9999933242797852,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,
9,data_wgs,0,0,True,True,0.7,171.39772457693977,0.07225,0.12259090048267896,0.7349118590354919,0.5741217732429504,1.3054026365280151,1,0.7,0.7349118590354919,1,0,1,0,"ig,lime,ks","zero,boundary",64,10,50,0.1,smoothgrad,300,True,,-0.3144255578517914,0.2817433774471283,3.7940778732299805,3.7940778732299805,45.54045104980469,0.043472898293597004,0.9304582476615906,-0.46146082878112793,True,,1.6969808340072632,2.190737009048462,2.8541154861450195,2.8541154861450195,3.421330451965332,0.02855646867925922,0.9852945804595947,-0.29112860560417175,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,
