feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,class
-1.403465986251831055e+00,-8.907873630523681641e-01,-5.512880325317382812e+00,2.914410352706909180e+00,-5.610936164855957031e+00,6.054795742034912109e+00,3.944250822067260742e+00,-5.866782665252685547e+00,8.000000000000000000e+00
-1.740392327308654785e+00,-2.542033672332763672e+00,-3.796575307846069336e+00,3.867084741592407227e+00,-4.498861789703369141e+00,3.918186426162719727e+00,2.104206085205078125e+00,-3.823988199234008789e+00,8.000000000000000000e+00
-2.505064725875854492e+00,-1.818144679069519043e+00,-5.014539718627929688e+00,-3.383266687393188477e+00,-4.424548625946044922e+00,-2.680770397186279297e+00,5.054506301879882812e+00,-3.118715763092041016e+00,7.000000000000000000e+00
-9.096746444702148438e+00,-3.925504207611083984e+00,-4.670538425445556641e+00,-9.011862277984619141e-01,-1.516243934631347656e+00,-1.764999389648437500e+00,1.769210025668144226e-02,-1.517722010612487793e+00,7.000000000000000000e+00
-3.514522552490234375e+00,-2.676734685897827148e+00,-5.272944450378417969e+00,-1.789430379867553711e+00,-2.186496257781982422e+00,-2.353359937667846680e+00,-2.165209501981735229e-01,-7.889074087142944336e-01,7.000000000000000000e+00
-4.461001873016357422e+00,4.212028026580810547e+00,5.544814586639404297e+00,3.232944250106811523e+00,-2.539475440979003906e+00,-3.249062776565551758e+00,8.635378479957580566e-01,-1.515240788459777832e+00,4.000000000000000000e+00
1.721598267555236816e+00,6.911540627479553223e-01,-3.960886001586914062e+00,3.321068763732910156e+00,2.698376178741455078e+00,-3.319243669509887695e+00,-1.718025207519531250e+00,-1.788273215293884277e+00,1.000000000000000000e+00
3.975811004638671875e+00,-2.656366527080535889e-01,-2.368336200714111328e+00,4.855632305145263672e+00,1.976250290870666504e+00,-4.872079372406005859e+00,-3.465430974960327148e+00,-1.783479690551757812e+00,1.000000000000000000e+00
-1.055144309997558594e+00,3.456961870193481445e+00,4.112509250640869141e+00,-1.298195481300354004e+00,-4.278196334838867188e+00,-2.874237060546875000e+00,-2.070877790451049805e+00,3.563136100769042969e+00,0.000000000000000000e+00
9.822595715522766113e-01,1.686389565467834473e+00,-4.760456085205078125e+00,5.519777297973632812e+00,1.553207159042358398e+00,-1.205126404762268066e+00,-2.108678340911865234e+00,-2.088676214218139648e+00,1.000000000000000000e+00
-9.502807855606079102e-01,2.539611339569091797e+00,6.507061123847961426e-01,-9.464386105537414551e-01,1.208657979965209961e+00,-3.022593498229980469e+00,-2.042961567640304565e-01,-3.335547685623168945e+00,2.000000000000000000e+00
-3.209159612655639648e+00,2.208777904510498047e+00,-1.459101319313049316e+00,-3.629983067512512207e-01,-3.455057740211486816e-01,-3.146987676620483398e+00,5.792861580848693848e-01,-4.059999942779541016e+00,3.000000000000000000e+00
-7.582784891128540039e-01,5.757436275482177734e+00,-6.706640720367431641e-01,1.547669649124145508e+00,-1.598310112953186035e+00,-5.254516124725341797e+00,-1.910305261611938477e+00,4.290289878845214844e+00,0.000000000000000000e+00
-4.040088355541229248e-01,-3.156676769256591797e+00,4.478295803070068359e+00,2.568795204162597656e+00,5.007133483886718750e+00,2.593333721160888672e+00,2.380212068557739258e+00,4.868920803070068359e+00,6.000000000000000000e+00
