feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,class
-1.843776864676790250e+00,-9.635809702256540321e-01,-1.875044381286179895e+00,-4.613910575504277745e+00,-3.254694745772503062e+00,-3.890679399407830807e+00,-6.474383740838439039e+00,-2.514488028561092214e+00,0.000000000000000000e+00
4.439712213125200257e+00,3.858613309085686893e+00,4.235711184516998351e+00,7.884737180036190729e+00,6.434863786590200085e+00,2.729884560503319957e+00,4.155555291318440148e+00,6.882574780846481666e+00,1.000000000000000000e+00
4.673459137964548482e+00,3.986194629148962942e+00,6.935849175834604807e+00,5.443358358222418758e+00,5.627073903500155794e+00,4.355607230247198203e+00,3.878625281948003600e+00,6.469699292853221095e+00,1.000000000000000000e+00
3.799670902154979935e+00,3.989332248808987735e+00,8.249493179110139351e+00,7.605381662732719761e+00,5.530020700808449874e+00,3.601600267343825656e+00,2.797746032857941323e+00,7.570510282168778637e+00,1.000000000000000000e+00
-4.377368127564086109e+00,-1.806501563723497128e-01,-1.247009741159482710e+00,-1.996086751555283811e-01,-4.460187736525840663e+00,-4.125541822336748154e+00,-4.460928782143556148e+00,-1.146380546259912370e+00,0.000000000000000000e+00
-1.662701672950599008e+00,-1.620696213464852375e+00,-3.348234182404303372e+00,-1.018979761465340861e+00,-4.190849588003767501e+00,-4.086377672105617087e+00,-5.088837480703429783e+00,-9.193799667288451438e-01,0.000000000000000000e+00
6.558067243139094948e+00,2.662097437492477070e+00,8.455972923720640466e+00,7.316138376101620544e+00,6.896583999920961716e+00,3.609851318756884364e+00,4.700335217039850022e+00,4.750851088293194024e+00,1.000000000000000000e+00
-3.751149043739221867e+00,3.709283411228000427e-01,-1.674222618739571011e+00,-2.341506961090159322e+00,-3.649608036856315518e+00,-3.134043188583080841e+00,-7.026637074276083084e+00,-2.905399399352950884e-01,0.000000000000000000e+00
-3.134281143672478898e+00,-1.630660491822811586e+00,-4.958999342994404591e-01,-2.171678449037239389e+00,-3.086136742230950247e+00,-6.155960769646543262e+00,-5.776962650645240949e+00,-1.269573569491209142e-01,0.000000000000000000e+00
4.724679665591537514e+00,1.402265687698284635e+00,7.425889237002185617e+00,5.644352785932358785e+00,8.465663494944312362e+00,4.412097397046989222e+00,3.751691294062233339e+00,8.369723760379738309e+00,1.000000000000000000e+00
4.956905578982961913e+00,4.536213709038442232e+00,4.274264675610634612e+00,6.527639747872203912e+00,6.172288704823146510e+00,3.951142097118967023e+00,4.496647405242857332e+00,6.076850719723523753e+00,1.000000000000000000e+00
-2.884950362725040129e+00,-1.095278527636540211e+00,-2.304332158626254401e-01,-1.952812560628542915e+00,-3.304412857858591401e+00,-3.101222325355783571e+00,-5.715907758336550515e+00,7.810738196132562816e-01,0.000000000000000000e+00
5.636569576103450885e+00,3.568798811480545563e+00,6.862947788733673171e+00,7.082336798943902778e+00,8.672334564923300348e+00,1.918525152976649384e+00,4.790375698945506855e+00,5.880142935971365503e+00,1.000000000000000000e+00
-2.999049913376029330e+00,-7.872958671112280093e-01,-1.969900830798660074e+00,-1.012520817100463155e+00,-3.914513099006832864e+00,-4.886945830656724610e+00,-5.781537799562974200e+00,-8.388557126938279707e-01,0.000000000000000000e+00
5.243323079851458957e+00,1.010243090258487353e+00,5.983547349266469695e+00,6.737508762640281645e+00,6.560227183106254856e+00,6.231279502018313821e+00,4.650713538473937092e+00,5.792540057746308868e+00,1.000000000000000000e+00
4.480474933563677098e+00,1.171160015947557032e+00,6.190815584815776873e+00,8.271773986684223701e+00,6.376448644137926891e+00,3.454173683385775018e+00,2.834938408008639055e+00,6.229794123775851844e+00,1.000000000000000000e+00
-3.608012576963541385e+00,-9.033080612351778171e-01,-1.740784068527861717e+00,-2.440558615459075487e+00,-5.089373119536763745e+00,-4.792095395609218933e+00,-7.335828302693674807e+00,4.930336460695738943e-02,0.000000000000000000e+00
4.971348435063701388e+00,3.239258635292955990e+00,7.189295197673732929e+00,5.906752370969224231e+00,6.931590959864708523e+00,2.901255150505893443e+00,5.089453265315999175e+00,7.618981455024924188e+00,1.000000000000000000e+00
-4.759966522803559918e+00,-5.322645304145832146e-01,-3.538563460968110697e+00,-1.739992677147735423e+00,-4.491948728376049971e+00,-2.925470025562587839e+00,-4.028639629958743917e+00,-2.129797089729978943e+00,0.000000000000000000e+00
5.778131183112298785e+00,4.343511257161527084e+00,6.130435410847634436e+00,6.348874435782549952e+00,4.626055027346888338e+00,3.773975726760817828e+00,4.901383300438507895e+00,6.854807056048216829e+00,1.000000000000000000e+00
5.021457250375269687e+00,2.007040780376923461e+00,5.408313663817281736e+00,7.667214358647283845e+00,5.011431399684431298e+00,5.046645608963491902e+00,3.240444859512625619e+00,7.644949233145331924e+00,1.000000000000000000e+00
3.267166594471964558e+00,4.363913116663428404e+00,5.865138599325677937e+00,6.624784236691277250e+00,6.672394188376923552e+00,2.901978886797246915e+00,4.917890703720965817e+00,6.389335170059136537e+00,1.000000000000000000e+00
5.379059297989161159e+00,2.582280675254383429e+00,7.584584066261518487e+00,7.093790368387701939e+00,7.123845741685519428e+00,1.653407980079868889e+00,5.623069935900123717e+00,7.219595853407967390e+00,1.000000000000000000e+00
-2.398258674924412137e+00,-1.359596749115965730e+00,-4.992583182888110649e+00,-2.919867874824971565e+00,-2.954792699492011732e+00,-3.859961969685298921e+00,-3.320386789114301962e+00,-1.856779532424294832e+00,0.000000000000000000e+00
-2.319331151514270939e+00,1.084543741695341401e+00,-8.945997790720845444e-01,-1.019765710088903266e+00,-5.130357537337187246e+00,-4.066968682048930361e+00,-6.147042809879495806e+00,-1.478979894672795892e+00,0.000000000000000000e+00
-3.538184127132193879e+00,-2.623712298648356867e-01,-4.343444626692588573e-01,-2.842444337251757602e+00,-4.105690694303175903e+00,-5.393852408279018462e+00,-5.752737646647934966e+00,-7.015848068941793469e-01,0.000000000000000000e+00
-3.545606723378513792e+00,-3.102956062099705425e-01,-2.828782286645779465e+00,-9.127791390843644770e-01,-3.271793766030944184e+00,-4.200089585706137107e+00,-5.270366647368201818e+00,-2.237939510357445094e+00,0.000000000000000000e+00
-3.023681484348900383e+00,-3.832048792238245682e-01,-8.148590733198205482e-01,-3.111934374083796140e+00,-4.587891048523492721e+00,-4.460553032782097915e+00,-3.855561762381424007e+00,-1.655933319498845258e+00,0.000000000000000000e+00
5.039509879741951970e+00,2.450379224470387474e+00,6.360306778556446439e+00,4.402683011131818702e+00,5.569370128800209763e+00,2.732377873286663039e+00,3.665111322516552139e+00,7.096779484347436551e+00,1.000000000000000000e+00
