feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,class
1.323037028312683105e+00,4.288196563720703125e-01,-6.105884909629821777e-01,1.367404818534851074e+00,-1.810687661170959473e+00,9.422990083694458008e-01,-4.323640346527099609e+00,6.786476355046033859e-03,1.000000000000000000e+00
-1.143938675522804260e-01,-8.961934447288513184e-01,-5.062078833580017090e-01,1.790801763534545898e+00,-4.238653182983398438e+00,-3.356794416904449463e-01,-2.875386476516723633e+00,1.925406575202941895e+00,1.000000000000000000e+00
-1.055351734161376953e+00,-1.268618822097778320e+00,7.675898075103759766e-01,9.913617372512817383e-01,-2.144527882337570190e-01,1.596198797225952148e+00,3.531697690486907959e-01,-6.426977515220642090e-01,0.000000000000000000e+00
6.297493577003479004e-01,1.176632642745971680e+00,-6.864449381828308105e-02,7.971167564392089844e-01,4.152207449078559875e-02,6.000760570168495178e-02,8.773694187402725220e-02,1.197607994079589844e+00,0.000000000000000000e+00
-5.319414138793945312e-01,5.252645611763000488e-01,6.378872394561767578e-01,5.688133239746093750e-01,-1.812369674444198608e-01,9.988708496093750000e-01,-1.175672292709350586e+00,1.206071734428405762e+00,0.000000000000000000e+00
5.584091544151306152e-01,1.053507551550865173e-01,-7.726885676383972168e-01,-6.767557263374328613e-01,5.175933241844177246e-01,9.151605963706970215e-01,1.606721617281436920e-02,9.165586829185485840e-01,0.000000000000000000e+00
1.066024541854858398e+00,-5.302371382713317871e-01,-9.354809522628784180e-01,1.138656735420227051e-01,-4.467901885509490967e-01,-7.571748495101928711e-01,-1.257366299629211426e+00,-2.064327955245971680e+00,0.000000000000000000e+00
-1.518096625804901123e-01,2.117864370346069336e+00,-1.505123376846313477e+00,-1.032922789454460144e-01,-1.572121858596801758e+00,-7.994845509529113770e-01,-6.909584999084472656e-01,-6.035734415054321289e-01,0.000000000000000000e+00
-3.112879022955894470e-02,1.406835317611694336e+00,-2.299852609634399414e+00,8.066892623901367188e-01,-3.633046150207519531e-01,4.464712440967559814e-01,1.037138223648071289e+00,4.565974235534667969e+00,1.000000000000000000e+00
-8.590651303529739380e-02,2.168783426284790039e+00,-1.423633933067321777e+00,-3.454482078552246094e+00,1.680021524429321289e+00,8.863083124160766602e-01,-1.156324982643127441e+00,8.027695417404174805e-01,1.000000000000000000e+00
2.362264156341552734e+00,1.047585010528564453e+00,2.108426332473754883e+00,2.814294338226318359e+00,1.602131128311157227e-01,3.587620973587036133e+00,7.411156892776489258e-01,-3.550012409687042236e-01,1.000000000000000000e+00
7.403148338198661804e-03,1.560371398925781250e+00,-6.221061944961547852e-01,3.708025217056274414e-01,5.920954346656799316e-01,-2.453758716583251953e-01,1.329283356666564941e+00,-1.409161537885665894e-01,0.000000000000000000e+00
2.618039608001708984e+00,-4.520390033721923828e-01,-8.804659247398376465e-01,1.034884810447692871e+00,1.589277267456054688e+00,1.879757642745971680e+00,2.268888235092163086e+00,-6.704915761947631836e-01,1.000000000000000000e+00
-7.844369411468505859e-01,-1.734105706214904785e+00,6.355947256088256836e-01,5.158690214157104492e-01,-1.024523854255676270e+00,7.631976604461669922e-01,1.842576026916503906e+00,-8.300980329513549805e-01,0.000000000000000000e+00
9.275004863739013672e-01,-1.253962874412536621e+00,2.438240528106689453e+00,1.438087344169616699e+00,-7.332590222358703613e-02,-2.811558723449707031e+00,9.048930406570434570e-01,1.597839593887329102e+00,1.000000000000000000e+00
2.608173847198486328e+00,-4.085009992122650146e-01,1.506728291511535645e+00,-1.530065059661865234e+00,-2.141712665557861328e+00,2.347994327545166016e+00,-3.001337051391601562e-01,-2.627763748168945312e-01,1.000000000000000000e+00
2.866624593734741211e-01,-8.212117552757263184e-01,-1.430036783218383789e+00,4.278686344623565674e-01,-3.926308393478393555e+00,-3.023434162139892578e+00,1.693043589591979980e+00,-1.633809685707092285e+00,1.000000000000000000e+00
1.198343336582183838e-01,-2.206888198852539062e+00,-2.600080966949462891e+00,2.535747051239013672e+00,1.859069824218750000e+00,1.229297518730163574e+00,1.532462358474731445e+00,-1.163097143173217773e+00,1.000000000000000000e+00
-1.216027736663818359e+00,-7.298119664192199707e-01,1.329164862632751465e+00,3.034146726131439209e-01,-2.494819879531860352e+00,-3.704629421234130859e+00,-1.527493357658386230e+00,1.902639508247375488e+00,1.000000000000000000e+00
9.227069020271301270e-01,1.945186257362365723e+00,-2.662999391555786133e+00,2.974928617477416992e+00,-8.348417878150939941e-01,-3.531468212604522705e-01,1.994939595460891724e-01,-2.307371854782104492e+00,1.000000000000000000e+00
9.274286031723022461e-01,-1.390352487564086914e+00,6.105764508247375488e-01,1.429400444030761719e+00,3.480891287326812744e-01,1.203084707260131836e+00,-7.626287341117858887e-01,2.110776305198669434e-01,0.000000000000000000e+00
1.083204746246337891e+00,-2.056715965270996094e+00,9.893343448638916016e-01,1.785437822341918945e+00,2.652719974517822266e+00,-3.073409795761108398e+00,1.621312499046325684e+00,1.606435775756835938e+00,1.000000000000000000e+00
1.190311461687088013e-01,1.034295678138732910e+00,-3.353655040264129639e-01,-5.293271541595458984e-01,1.721621751785278320e-01,1.070638298988342285e+00,1.585620999336242676e+00,-7.533963918685913086e-01,0.000000000000000000e+00
3.349643230438232422e+00,6.265352964401245117e-01,2.144302368164062500e+00,3.275209426879882812e+00,9.580802321434020996e-01,-1.400395750999450684e+00,7.316384911537170410e-01,1.600352525711059570e+00,1.000000000000000000e+00
3.669996261596679688e-01,3.161562681198120117e-01,2.082018107175827026e-01,-1.119693040847778320e+00,-3.461145162582397461e-01,-1.144418358802795410e+00,-1.331792950630187988e+00,-2.151208966970443726e-01,0.000000000000000000e+00
3.371446847915649414e+00,-6.136649250984191895e-01,1.553228020668029785e+00,1.248296618461608887e+00,-1.800162196159362793e+00,1.476156711578369141e+00,-1.468799233436584473e+00,-8.832347393035888672e-01,1.000000000000000000e+00
-9.091474860906600952e-02,-3.252954959869384766e+00,-2.765060663223266602e+00,4.793120622634887695e-01,-1.162378787994384766e+00,-7.853416204452514648e-01,1.458293348550796509e-01,8.752226233482360840e-01,1.000000000000000000e+00
-1.406910568475723267e-01,2.389380693435668945e+00,-2.399156332015991211e+00,2.124818801879882812e+00,1.171003103256225586e+00,5.056005716323852539e-01,-6.694870591163635254e-01,-1.915727019309997559e+00,1.000000000000000000e+00
-1.336451411247253418e+00,-5.658953189849853516e-01,9.887109994888305664e-01,-6.935938596725463867e-01,5.058044195175170898e-02,3.980179727077484131e-01,7.721630334854125977e-01,-3.950645923614501953e-01,0.000000000000000000e+00
6.819744706153869629e-01,-5.577871799468994141e-01,2.582623064517974854e-01,1.638830900192260742e+00,2.028323173522949219e+00,-9.574522376060485840e-01,7.003036141395568848e-01,5.906451940536499023e-01,0.000000000000000000e+00
3.785451948642730713e-01,2.461309671401977539e+00,-1.305001139640808105e+00,4.004512310028076172e+00,-1.127275109291076660e+00,-8.256081342697143555e-01,3.999198228120803833e-02,-2.323086023330688477e+00,1.000000000000000000e+00
2.111863613128662109e+00,-1.653327226638793945e+00,-9.133704900741577148e-01,-2.469852209091186523e+00,-1.035037517547607422e+00,6.027690768241882324e-01,2.563659667968750000e+00,2.659810781478881836e+00,1.000000000000000000e+00
-3.604899048805236816e-01,2.009099572896957397e-01,-2.044436454772949219e+00,-6.333801150321960449e-01,-1.203863397240638733e-01,7.385400533676147461e-01,-6.528255939483642578e-01,-1.788110375404357910e+00,0.000000000000000000e+00
8.175555467605590820e-01,-1.355713009834289551e+00,-8.375104069709777832e-01,3.840880990028381348e-01,1.539579987525939941e+00,2.152935981750488281e+00,7.818078994750976562e-02,-5.391882658004760742e-01,0.000000000000000000e+00
-7.129015326499938965e-01,-1.656421661376953125e+00,1.409773975610733032e-01,8.539218306541442871e-01,3.011433780193328857e-01,1.988608390092849731e-01,6.396954655647277832e-01,-1.905100941658020020e+00,0.000000000000000000e+00
-4.543881714344024658e-01,-1.287063121795654297e+00,-1.863699674606323242e+00,-1.574809662997722626e-02,7.835918068885803223e-01,2.051350831985473633e+00,9.452878832817077637e-01,6.441733837127685547e-01,0.000000000000000000e+00
-6.201667189598083496e-01,5.346867442131042480e-01,5.889615416526794434e-01,-1.401198983192443848e+00,-9.958282709121704102e-01,1.017155647277832031e+00,5.986323952674865723e-01,6.910942792892456055e-01,0.000000000000000000e+00
-9.576997160911560059e-01,1.234021544456481934e+00,1.500783801078796387e+00,-1.167416095733642578e+00,-1.384381651878356934e+00,-8.559320569038391113e-01,7.079558372497558594e-01,-1.039845108985900879e+00,0.000000000000000000e+00
4.639656543731689453e-01,1.429068803787231445e+00,-1.182739585638046265e-01,-1.390027999877929688e+00,1.651266813278198242e-01,-2.096606254577636719e+00,-1.968287348747253418e+00,-2.077206522226333618e-01,0.000000000000000000e+00
1.094454050064086914e+00,1.713569909334182739e-01,-1.413272857666015625e+00,9.784236550331115723e-01,-5.707938075065612793e-01,-1.062739968299865723e+00,-1.110167503356933594e+00,4.891156256198883057e-01,0.000000000000000000e+00
-1.881832361221313477e+00,-5.120048522949218750e-01,-1.537408113479614258e+00,3.846505284309387207e-01,4.080313742160797119e-01,-2.238072454929351807e-01,-4.282462894916534424e-01,1.146519184112548828e+00,0.000000000000000000e+00
2.528773844242095947e-01,-2.872400730848312378e-02,3.213402330875396729e-01,1.056300163269042969e+00,1.242355823516845703e+00,-1.386176705360412598e+00,7.279969453811645508e-01,-7.969708442687988281e-01,0.000000000000000000e+00
1.668150305747985840e+00,-1.088148713111877441e+00,2.825140476226806641e+00,1.239555478096008301e+00,-2.262529850006103516e+00,-1.632874250411987305e+00,1.035775780677795410e+00,-3.593770503997802734e+00,1.000000000000000000e+00
7.529870867729187012e-01,1.904456138610839844e+00,-1.921011924743652344e+00,-2.995401144027709961e+00,2.630848884582519531e-01,-4.173982143402099609e-01,-2.484338998794555664e+00,-5.018678307533264160e-01,1.000000000000000000e+00
2.007421255111694336e+00,6.122885346412658691e-01,-7.232108712196350098e-01,2.494904845952987671e-01,1.407152295112609863e+00,2.908992469310760498e-01,5.660271644592285156e-01,-1.733469247817993164e+00,0.000000000000000000e+00
