feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,class
-1.222404837608337402e+00,-3.351199924945831299e-01,-5.312559008598327637e-01,1.176494836807250977e+00,-1.575326681137084961e+00,8.034394979476928711e-01,-3.742101192474365234e+00,-1.176751591265201569e-02,1.000000000000000000e+00
7.162936031818389893e-02,5.098421573638916016e-01,-3.910056054592132568e-01,1.496958971023559570e+00,-3.558395624160766602e+00,-2.635241448879241943e-01,-2.425369501113891602e+00,1.601438045501708984e+00,1.000000000000000000e+00
-1.781292438507080078e+00,-2.090333223342895508e+00,1.262626647949218750e+00,1.676882982254028320e+00,-3.993270397186279297e-01,2.687732934951782227e+00,5.640095472335815430e-01,-1.070293664932250977e+00,0.000000000000000000e+00
1.088292241096496582e+00,1.943398475646972656e+00,-6.493212282657623291e-02,1.412770152091979980e+00,1.095725297927856445e-01,1.022240146994590759e-01,1.743196845054626465e-01,2.037048816680908203e+00,0.000000000000000000e+00
-8.565840125083923340e-01,9.251962304115295410e-01,1.136401891708374023e+00,1.027222633361816406e+00,-3.121480345726013184e-01,1.921758055686950684e+00,-2.047048091888427734e+00,2.136524915695190430e+00,0.000000000000000000e+00
1.083967328071594238e+00,2.033291906118392944e-01,-1.226905703544616699e+00,-1.191230535507202148e+00,8.683790564537048340e-01,1.468286037445068359e+00,1.729191839694976807e-02,1.629121422767639160e+00,0.000000000000000000e+00
1.690164327621459961e+00,-8.547686338424682617e-01,-1.466860771179199219e+00,1.535536050796508789e-01,-8.293018341064453125e-01,-1.207293868064880371e+00,-2.068062305450439453e+00,-3.244383335113525391e+00,0.000000000000000000e+00
-2.821520864963531494e-01,3.196333408355712891e+00,-2.233321189880371094e+00,-1.399504393339157104e-01,-2.352187633514404297e+00,-1.286361694335937500e+00,-9.892216920852661133e-01,-9.653568267822265625e-01,0.000000000000000000e+00
2.264662086963653564e-01,-1.494525671005249023e+00,-2.011376142501831055e+00,6.879957318305969238e-01,-3.358857631683349609e-01,3.794089853763580322e-01,9.017820954322814941e-01,3.927513837814331055e+00,1.000000000000000000e+00
1.316959410905838013e-01,-1.998602271080017090e+00,-1.221074700355529785e+00,-3.019558429718017578e+00,1.458628058433532715e+00,7.604049444198608398e-01,-9.971805810928344727e-01,6.946175098419189453e-01,1.000000000000000000e+00
-2.350556612014770508e+00,-6.455206871032714844e-01,1.786448717117309570e+00,2.385497570037841797e+00,1.099890097975730896e-01,3.078518152236938477e+00,6.113520264625549316e-01,-3.011836409568786621e-01,1.000000000000000000e+00
-3.529679775238037109e-02,2.660379409790039062e+00,-1.120374083518981934e+00,6.400220394134521484e-01,1.106497168540954590e+00,-3.770793974399566650e-01,2.244804859161376953e+00,-3.561063408851623535e-01,0.000000000000000000e+00
-2.193966865539550781e+00,5.696558356285095215e-01,-7.353978157043457031e-01,7.941796183586120605e-01,1.269054412841796875e+00,1.498238325119018555e+00,1.793204069137573242e+00,-5.177693367004394531e-01,1.000000000000000000e+00
-1.253709316253662109e+00,-2.664811372756958008e+00,9.128840565681457520e-01,6.824743151664733887e-01,-1.448259472846984863e+00,1.165610313415527344e+00,2.787923097610473633e+00,-1.275238037109375000e+00,0.000000000000000000e+00
