dataset,report_path,n_samples,n_both_success,crawler_success_rate,gs_success_rate,both_success_rate,agree_success_rate,crawler_only_success_rate,gs_only_success_rate,angle_x_crawler_gs_deg_mean,angle_x_crawler_gs_deg_median,angle_x_crawler_gs_deg_std,angle_x_crawler_gs_deg_iqr,sphere_vol_mean,sphere_vol_median,sphere_vol_std,sphere_vol_iqr,ring_n_mean,ring_n_median,ring_n_std,ring_n_iqr,dist_x_to_crawler_mean,dist_x_to_crawler_median,dist_x_to_crawler_std,dist_x_to_crawler_iqr,dist_x_to_gs_mean,dist_x_to_gs_median,dist_x_to_gs_std,dist_x_to_gs_iqr,dist_crawler_to_gs_mean,dist_crawler_to_gs_median,dist_crawler_to_gs_std,dist_crawler_to_gs_iqr,n_paired,dist_diff_mean,dist_diff_median,wilcoxon_p,wilcoxon_rbc,mannwhitney_p
15d_3class,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/15d_3class/report.csv,600,600,1.0,1.0,1.0,1.0,0.0,0.0,41.87447704587453,39.773926322111805,10.340425542292648,6.688480104611202,1031062088.9789779,0.0,17532892355.20843,0.0,58.38,60.0,41.8824445952652,76.25,7.089408561786016,6.97546124458313,1.9134912609573782,2.635375499725342,8.912428455352783,8.880560874938965,2.3346662782437475,3.22893226146698,6.072721833984057,5.59276008605957,2.5044474049987224,2.3976389169692993,600,-1.8230198935667674,-1.7893331050872803,6.129784901704213e-100,0.9999722684414865,1.4708968585865573e-42
15d_linear_blobs,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/15d_linear_blobs/report.csv,400,400,1.0,1.0,1.0,1.0,0.0,0.0,38.42091594877885,38.75923615479237,3.927048932856378,5.597870159736274,0.0,0.0,0.0,0.0,0.535,0.0,2.9632291199032523,0.0,9.658101910352707,9.307395458221436,2.480041402852865,4.68034815788269,12.31565419793129,11.971258163452148,3.2201306314038054,6.072678327560425,7.656269391775131,7.2365028858184814,2.1965949756772933,3.685853123664856,400,-2.6575522875785826,-2.4755706787109375,2.73006926195335e-67,1.0,1.7399224889237699e-31
15d_moons,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/15d_moons/report.csv,400,400,1.0,1.0,1.0,1.0,0.0,0.0,50.95049459111318,49.28990237619737,12.100140624966013,12.814984315575295,0.0020256962238032524,3.917134853644536e-06,0.011228530301129266,0.00019746469557527498,0.0275,0.0,0.23850778794890684,0.0,1.3010631933808328,1.209382712841034,0.35886377670425684,0.46456679701805115,1.4299192783782546,1.3070164918899536,0.6131626005635145,0.6908203661441803,1.1647198716551066,1.0792629718780518,0.40492112795960955,0.47623713314533234,400,-0.12885608499742215,-0.08686697483062739,2.5764092498906566e-21,0.7734538653366584,0.006702623158595042
2d_10class,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/2d_10class/report.csv,2000,2000,1.0,1.0,1.0,1.0,0.0,0.0,48.08022211116397,23.1369710578661,51.81273912198272,67.40876864904283,0.14577758465973295,0.0030537668151057002,0.7753923253487864,0.022217945875116277,26.434,3.0,59.89228821053297,17.0,0.9709199238379952,0.7535480856895447,0.7941241064315948,0.9225418344140051,0.5938973939083199,0.25689224898815155,0.7951368561966428,0.9561097770929337,0.5648898308958633,0.27863445878028864,0.7678180478825772,0.5527170319110155,2000,0.3770225299296754,0.09675374254584312,3.52904281297837e-252,0.9378340829585208,9.98479011257338e-102
2d_3class,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/2d_3class/report.csv,600,600,1.0,1.0,1.0,1.0,0.0,0.0,21.298896822905313,6.002639410449356,31.62000451297223,18.811596077145524,0.6564897972665291,0.0022088502215197,2.4849461412740266,0.03482713275747968,10.731666666666667,1.0,30.444393557007814,4.0,2.7345507579048474,2.7568565607070923,1.3729736565583996,1.958673745393753,2.544830018599504,2.5218639373779297,1.3724765929294722,1.9405646324157715,0.8792480678994373,0.2438799291849136,1.481301462401841,0.5459924954921007,600,0.18972073930534364,0.007224023342132568,1.9095164523462209e-31,0.7748474764281752,0.021206350909808328
2d_linear_blobs,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/2d_linear_blobs/report.csv,400,400,1.0,1.0,1.0,1.0,0.0,0.0,4.044601484492714,3.17975084850891,3.6071765541857457,4.050220789994952,0.0013778536726020009,0.00027072194962465,0.0032593877501577518,0.001402114157632525,0.3925,0.0,0.9330703621656191,0.0,3.633215952217579,3.6769624948501587,1.1152866260749168,1.4150330424308777,3.636601070612669,3.69951856136322,1.1164143884051188,1.4044435024261475,0.23256551125174155,0.1872462481260299,0.17178753882858652,0.2362292148172856,400,-0.003385118395090098,-0.0011644363403320312,3.373369512551515e-09,0.6705673316708229,0.9557097789035982
2d_moons,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/2d_moons/report.csv,400,400,1.0,1.0,1.0,1.0,0.0,0.0,21.316124386451225,12.42780519920619,30.263565021637472,17.600036847414465,0.06509095859568276,0.00100770813068455,0.3165297394059958,0.007074123603284597,7.325,6.0,8.489673810194875,8.0,1.2408425928279758,1.2465181946754456,0.4087076305088784,0.5419632494449614,1.2482721461728215,1.2940804362297058,0.3633309951914706,0.4910181164741516,0.46288624771288595,0.24217461049556727,0.7172349477005682,0.3736250400543213,400,-0.007429553344845779,-0.011267781257629395,4.461876553120702e-12,0.6996882793017456,0.40204901762485223
8d_10class,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/8d_10class/report.csv,2000,2000,1.0,1.0,1.0,1.0,0.0,0.0,34.30920118127667,27.39757403032239,20.046634271497734,13.27879557597197,332.69230447863436,0.0,4836.509550579275,0.0005323079248193749,4.816,0.0,9.41506589105283,5.0,2.7782936365529896,2.6755683422088623,1.3315485228036805,1.94763445854187,2.879240934823187,2.823151111602783,1.423563787123042,2.090447425842285,1.6488541574180127,1.2015842199325562,1.4040669689124878,1.0693373531103134,2000,-0.10094729827019763,-0.12295103073120117,2.257904351848582e-119,0.7998625687156422,0.014886428568974298
8d_3class,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/8d_3class/report.csv,600,600,1.0,1.0,1.0,1.0,0.0,0.0,25.57812352400267,23.89569347744915,10.210229324886111,6.51880163808578,101.90527343909329,0.0,1760.7336873711413,0.0,11.25,8.0,11.742542833091063,18.0,3.9781972484787307,3.8998501300811768,1.498009959620559,2.098604917526245,4.25871556515495,4.200058937072754,1.6220316783356337,2.3397275805473328,1.8532605648537477,1.6473761796951294,1.1547887932906362,1.0237423181533813,600,-0.2805183166762193,-0.27021944522857666,3.48803052094708e-95,0.9876927343316695,0.0027958263012805595
8d_linear_blobs,/Users/nguyennhatmai/Documents/study/UBonn/WiSe2526/LabDMAI/local-boundary-attribution/results/synthetic_experiments/8d_linear_blobs/report.csv,400,400,1.0,1.0,1.0,1.0,0.0,0.0,18.64870455857485,18.59775561065952,3.4461236947836755,4.536323193138994,0.0,0.0,0.0,0.0,0.725,0.0,4.178279556243852,0.0,9.625837973356248,9.701106071472168,2.3748647681144797,4.228792786598206,10.142924219369888,10.321900844573975,2.4688379020716673,4.368901371955872,3.2140261289477348,3.1747411489486694,0.8964983741731327,1.2800808548927307,400,-0.5170862460136414,-0.4980549812316877,2.73006926195335e-67,1.0,0.0015521433099554213
